"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"American Samoa","ASM","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.362882997582343","0.00847737110865071","0.0116070835812493","0.117796011025877","0.0685905372349281","0.349229759401508","0.347441730478895","0.00935451402993339","0.948434926196568","4.96381160801573","0.577250320818834","2.56887227741085","5.89064901168377","1.59997198108708","0.698696752869473","4.17394221288214","0.499060489325029","0.0679328938209287","0.307548630440589","0.809926760011092","0.420278613093389","",
"American Samoa","ASM","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","101.9936788","101.4348026","111.9836651","119.4989487","111.1582343","180.4802476","178.6844636","155.0616247","156.9875297","160.6954089","138.4322004","138.6424885","139.2125343","142.0708223","165.3815834","184.8917806","168.5930419","159.903781","161.4130501","173.7488817","",
"American Samoa","ASM","Merchandise imports from high-income economies (% of total merchandise imports)","TM.VAL.MRCH.HI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3260893537975","79.8223951287277","76.4815762882141","69.4626752042698","70.9755025484777","80.1050570424368","70.7179562085887","79.0910558684764","67.2494567166362","63.939857468905","58.6332702782352","76.5523779988416","82.5657933856983","59.9959248004946","80.4915117104134","71.2183274782018","62.0120826858448","74.9623303520355","68.9390576376021","61.8962756775393","78.4043831924232","",
"American Samoa","ASM","Share of tariff lines with international peaks, primary products (%)","TM.TAX.TCOM.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Share of tariff lines with international peaks, manufactured products (%)","TM.TAX.MANF.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","66.211","66.641","67.068","67.493","67.916","68.334","68.75","69.163","69.574","69.98","70.384","70.784","71.182","71.576","71.967","72.354","72.739","73.12","73.497","73.871","74.33","75.043","75.743","76.429","77.103","77.762","78.408","79.04","79.659","80.263","80.948","81.886","82.789","83.654","84.485","85.28","86.043","86.771","87.467","88.131","88.587","88.491","88.394","88.297","88.198","88.1","88","87.9","87.799","87.697","87.594","87.502","87.42","87.348","87.288","87.238","87.198","87.17","87.153","87.147","87.153","87.169",
"American Samoa","ASM","Population, total","SP.POP.TOTL","20127","20605","21246","22029","22850","23675","24473","25235","25980","26698","27362","27982","28564","29103","29595","30045","30455","30834","31262","31842","32648","33697","34969","36413","37946","39521","41114","42741","44346","45894","47351","48682","49900","51025","52099","53158","54209","55227","56180","57049","57816","58496","59077","59495","59684","59557","59109","58367","57490","56675","56084","55755","55669","55717","55791","55806","55739","55617","55461","55312","55197","55103",
"American Samoa","ASM","Population ages 65 and above, male (% of male population)","SP.POP.65UP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Population ages 10-14, male (% of male population)","SP.POP.1014.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Wanted fertility rate (births per woman)","SP.DYN.WFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Labor force participation rate for ages 15-24, total (%) (national estimate)","SL.TLF.ACTI.1524.NE.ZS","39.3600006103516","","","","","","","","","","","","","","27.8999996185303","","","","","","23.2800006866455","","","","","","","","","","30.7700004577637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
