"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bermuda","BMU","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","","","","","1.90217391304348","","","0.498338870431894","","","","1.21969862415375","0.824944071588367","1.59610215053763","0.932741305837828","0.835338699416369","0.54412514878422","1.99100342483259","5.50792918376764","0.952472272828971","0.701619754981226","1.04131218947798","1.01320055581288","0.509666080843585","0.298448560787312","0.298322420673356","","","","","","","","0.0414502009511967","","","0.00653430293853298","0.0376403545861128","0.0955949655403348","","0.0790660948393602","0.0342347807059555","0.000278852705344371","0.00239372838558676","0.00300758802749465","0.00353624650726197","0.0446479198314693","0.129234962055739","0.00221885965588797","0.0100839744263169","0.0056010287478555","0.00737666077590695","11.7386604717769","0.0127229840047961","0.0549422221416447","0.0181229138088087","0.440364138571922","0.00283446525176314","0.0559924798634904","0.0789071125502063","","",
"Bermuda","BMU","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","75.0993784","117.2165659","107.8263058","139.2744269","97.17991043","48.0641917","43.650472","30.92864853","40.08045266","18.2895493","16.09834405","12.98325817","15.14095616","27.96451913","28.86826686","26.60933315","25.22752856","25.49206231","27.79651841","15.68026999","",
"Bermuda","BMU","Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)","TM.VAL.MRCH.R1.ZS","","","","","","","","","","","","0.0737524933371327","0.169498566740061","0.134584525737442","0.174624733212213","0.132144776921699","0.160483649354218","0.157783581687304","0.112181346949828","0.136750542922965","0.122008172796264","0.160585998027891","0.118494447836571","0.140821676427896","0.0988146632176689","0.113688911947487","0.0988146632259354","0.0631032094225056","0.211735122228911","0.334857339549084","0.359044176677112","0.315345622278512","0.378183155687029","0.560298250945956","0.281227760388251","0.380079522010771","0.344783547686783","0.245286935967722","0.208391640863901","0.417095976829178","0.187184332451929","0.263323591538137","0.270075169923537","0.3582900831057","0.353798637595124","0.347799990186022","0.699892918731494","0.648806802782288","1.63729066371499","2.62320380016489","8.67441235020485","10.9181766608904","9.12752231520976","9.40699131061565","8.0552133871115","11.6110360405198","7.53414223124273","5.80892553594744","8.02508970503333","1.99103972829786","3.92499384386587","",
"Bermuda","BMU","Tariff rate, most favored nation, simple mean, primary products (%)","TM.TAX.TCOM.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4","","","","13.06","","12.74","12.5","12.53","12.68","12.66","11.61","11.41","11.54","11.67","11.92","12.95","27.48","43.97","28.47","",
"Bermuda","BMU","Tariff rate, most favored nation, simple mean, manufactured products (%)","TM.TAX.MANF.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.77","","","","20.18","","20.07","20.01","19.94","19.52","19.48","19.46","19.45","19.41","19.47","19.51","21.58","21.91","22.65","21.56","",
"Bermuda","BMU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","557000","570000","562000","558000","549000","539000","458000","484000","483000","478000","517000","635000","660000","550000","554000","580000","652000","610000","576000","580000","597000","642000","688000","766000","805000","51400.0015258789","",
"Bermuda","BMU","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Population ages 65 and above (% of total population)","SP.POP.65UP.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Population ages 40-44, male (% of male population)","SP.POP.4044.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
