"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bolivia","BOL","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","1.5","2.5","2.7999999523","2.9000000954","2.4000000954","2.5999999046","4.0999999046","27.6000003815","43.0999984741","33.9000015259","37.5999984741","43.7000007629","27.6000003815","17.2000007629","38","41.5","27.7999992371","25.5","8.3000001907","8.3999996185","8.3999996185","5","6.8000001907","10.1000003815","28.3999996185","48.9000015259","46.5999984741","47.0999984741","43","19.7999992371","15.341","13.568","14.922","24.522","24.371","25.295","10.714","8.718","8.755","6.871","11.236595977","17.4124617143146","12.3003149495376","7.993202","8.78072557707694","9.93479748637544","9.008756313","9.48554381985556","13.7284774028928","22.980404","17.95563766","",
"Bolivia","BOL","CPIA efficiency of revenue mobilization rating (1=low to 6=high)","IQ.CPA.REVN.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4","4","4","4","4","4","4","4","","","","","","",
"Bolivia","BOL","CPIA business regulatory environment rating (1=low to 6=high)","IQ.CPA.BREG.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","","","","","",
"Bolivia","BOL","Procedures to build a warehouse (number)","IC.WRH.PROC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","14","14","15","15","15","15","15","","",
"Bolivia","BOL","Cost of business start-up procedures (% of GNI per capita)","IC.REG.COST.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173.5","172.1","153.2","143.9","128.6","106.2","93.7","95.2","85.4","70","67.6","60.8","51.1","49.7","46.6","39.2","37.3","","",
"Bolivia","BOL","Value lost due to electrical outages (% of sales for affected firms)","IC.FRM.OUTG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","","","","2.5","","","","","","","0.9","","","","",
"Bolivia","BOL","Cost to export, border compliance (US$)","IC.EXP.CSBC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65","65","65","65","65","65","","",
"Bolivia","BOL","Human capital index (HCI), upper bound (scale 0-1)","HD.HCI.OVRL.UB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","50900000","102600000","99200000","125000000","145700000","204900000","318200000","450300000","610300000","727700000","749500000","709200000","775700000","627600000","890500000","1102970000","1333991588.22","1566203978.05","1774000000","2007900402.01","2810887455.95","2142386179.88","","","","","","","","","","","","","","",
"Bolivia","BOL","Taxes on goods and services (% value added of industry and services)","GC.TAX.GSRV.VA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","7.81028579564393","6.19263891072797","5.18537059048634","6.12456923824976","6.23969829540857","6.53029965111725","7.85895529546663","8.78158268259498","9.59232072895818","10.9340776728519","10.6758943420667","13.3585694894968","13.4501975299386","13.0367947421123","10.99174735349","12.7185475047946","12.1169611756701","13.5661600806836","13.519607682485","14.538151083958","17.1978423242144","18.2207716748359","18.1177756687614","","","","","","","","","","","","","","",
"Bolivia","BOL","Net incurrence of liabilities, total (current LCU)","GC.LBL.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","3400000","-78400000","47300000","185800000","271200000","-15200000","485500000","871200000","431700000","647000000","1315600000","1382000000","1469400000","1291400000","1551300000","3732880000","3717067776.8","5364577199.18","4992900000","2877613991.32","-9404173140.65","-314450380.27","","","","","","","","","","","","","","",
"Bolivia","BOL","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.2736519099378","57.467541066616","53.5079633764077","48.3592139137211","49.511643226743","49.3716582389569","48.4713135115361","48.6545056090348","50.067147616787","55.212982897103","67.0968867099605","76.3041074200835","78.5356293201468","85.3440587183389","92.9265176391588","","",
"Bolivia","BOL","Monetary Sector credit to private sector (% GDP)","FM.AST.PRVT.GD.ZS","1.67894619334673","2.22495894909688","2.51360991177023","5.24232914923291","6.50471917066378","6.36768802228412","6.86666666666667","6.66889408620113","7.53237833594976","7.88391886997465","8.78165866578381","9.11339889366933","10.1315789473684","10.9951725229503","10.5315756912388","11.6752566607091","13.6658313059067","15.8746380514393","17.3146990771522","17.8810553153752","17.0894630225883","16.6649827297529","27.0854956169353","17.1390487746545","14.2952847288849","19.0410810615329","12.8256195646259","15.3989109009712","17.1384940623391","20.7115138348125","24.0255607234869","28.6601674106482","36.3046144350101","45.4982377364528","49.9360590122096","48.2018453881021","52.7372304538668","58.2754233787146","64.0518430826259","64.4499926981327","58.7218026947676","53.5566000288069","51.001676850074","47.880519858362","42.6507012903778","39.7951588996808","35.1778876648113","34.3464279647996","31.4948343659664","34.0214297799199","36.029022193555","36.7535059221777","38.9658038429773","40.9310950343345","43.7497193000006","51.4488724591572","57.4086457676424","58.6184409943725","62.6284139697086","65.8397043023339","80.1679523323782","",
"Bolivia","BOL","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.14098016078258","1.64499555407419","1.45359977173878","1.48473224456689","1.50237950472032","1.49992861153731","1.5769576006293","1.7024307788589","1.73167776169038","1.86600368568285","1.50757622452981","",
"Bolivia","BOL","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","","","0.38","","","0.53","","0.8","","0.69","","0.54","","0.54","","0.68","","0.7","","0.7","","0.7","","0.71","","","","","",
"Bolivia","BOL","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","EN.CO2.MANF.ZS","","","","","","","","","","","","20.6422018348624","22.0833333333333","19.3675889328063","18.978102189781","20.4968944099379","20.9631728045326","15.7333333333333","14.004914004914","11.0565110565111","9.97624703087886","12.1412803532009","22.7926078028747","26.9230769230769","20.2614379084967","16.7053364269142","13.4939759036145","8.73563218390805","10.3286384976526","12.5","14.9514563106796","13.926499032882","13.4935304990758","12.9662522202487","13.2786885245902","12.7721335268505","10.6646058732612","11.7103235747304","12.1037463976945","13.1498470948012","12.5352112676056","12.3348017621145","12.7272727272727","12.1483375959079","11.8544600938967","11.7971334068357","11.6514690982776","11.6774791473587","10.9880749574106","12.258064516129","11.021897810219","11.3651647612643","10.8786610878661","11.8273211117682","11.5300546448087","","","","","","","",
"Bolivia","BOL","Nitrous oxide emissions in energy sector (% of total)","EN.ATM.NOXE.EG.ZS","","","","","","","","","","","0.225425964439849","0.360597692807626","0.321611312165699","0.402818320397663","0.355654702974192","0.343686110090495","0.353597000673488","0.470176546419309","0.409012187727679","0.375953923092085","0.511566233002064","0.644111089774597","0.598260332271121","0.579784386501224","0.784060184462847","0.738737827320347","0.696956430279212","0.55360245439729","0.595655850545693","0.643800668801208","1.79640718562874","1.94552529182879","1.9047619047619","1.85873605947955","1.985559566787","1.94003527336861","2.0109689213894","1.94003527336861","1.82724252491694","1.73228346456693","1.81818181818182","1.82421227197347","1.59420289855072","1.81818181818182","1.61073825503356","1.5","1.69491525423729","1.83006535947712","1.82529335071708","","","","","","","","","","","","","",
"Bolivia","BOL","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","7.334","3.667","3.667","3.667","3.667","3.667","3.667","0","3.667","3.667","3.667","3.667","0","0","0","3.667","0","0","0","3.667","3.667","3.667","3.667","3.667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Bolivia","BOL","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","7.56665451737936","7.23405877196326","7.00541127627176","6.95841882288131","6.23795315389301","5.97067932539142","5.8956343454401","5.75878052607365","5.34224706129557","3.73974686816961","3.87431922915794","3.64964721065325","3.8406147609198","3.92198192826077","3.89724745886466","4.02166740268223","4.13426694081645","4.33680880456566","4.08514816100764","3.02602728654163","3.54554044237183","3.23744579381777","3.61032730358471","2.92823944272883","2.52694930598427","2.65483700562871","2.68201510300998","2.62808995815149","3.08870747253629","3.05152508178199","4.29236577196595","3.67471294991797","3.1396171474485","3.40781678963601","2.84056660202616","2.46961782752702","3.25037128063311","3.31945255382457","3.14578824642524","2.65157521721861","2.6247937501935","2.25301637232862","2.41602925946948","1.97497927438316","","","","","","","",
"Bolivia","BOL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.571038","96.038393","93","94.3611602783203","96.7","95.815075","96.1","97.837216","95.8121109008789","94.2111358642578","88.5792083740234","94","96.1399765014648","89.9208831787109","95.1707305908203","98.1952819824219","99.2279434204102","98.8741149902344","98.8123245239258","99.0792617797852","99.2329330444336","99.5200729370117","99.3108444213867","99.4643478393555","99.5","99.4000015258789","99.5","99.4800033569336","100","",
"Bolivia","BOL","Net ODA received (% of central government expense)","DT.ODA.ODAT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","53.013184023475","53.3172251448966","76.0866916530991","78.6014705206378","70.2131762152688","61.5500963181142","66.2734927222843","46.7765281831087","47.4975008522553","57.089240708477","54.5650493154393","40.2627577269621","32.858208812799","30.5989834900706","24.6848704884159","34.2447392168272","26.3817630786286","33.4509702415401","29.6000419446482","21.8801632263222","29.459905085242","15.3334679314022","","","","","","","","","","","","","","",
"Bolivia","BOL","Net official flows from UN agencies, UNPBF (current US$)","DT.NFL.UNPB.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2099999.90463257","",
"Bolivia","BOL","PPG, commercial banks (NFL, current US$)","DT.NFL.PCBK.CD","","","","","","","","","","","-1002000","8563000","22085000","1757000","47663000","65475000","134048000","195035000","91722000","29908000","5915000","-22059000","-9731000","3395000","-3143000","-3011000","-450000","23815000","-25000000","","-1625000","6574000","300000","-578000","3228000","-3728000","-5027000","628000","4779000","937000","-995000","13000","2962000","-327000","-1171000","2567000","1757000","-947000","65435000","6382000","-67056000","64970000","64812000","-1618000","-1612000","-1571000","-1193000","-1127000","-1013000","33227000","14732000","",
"Bolivia","BOL","Net financial flows, bilateral (NFL, current US$)","DT.NFL.BLAT.CD","","","","","","","","","","","33261344.3","7042503.2","54290277.3","14487653.3","29968740.2","17224109","74596087.6","55932814.8","54272903","33374670.9","54556984.9","88538183","51020545.9","1258458.8","54259398.8","-1906360.1","57445887.9","57563075.7","19936297.1","77885066.2","40601893.2","48940436.7","109482659.1","62866011.8","23943882.7","17676309.7","54904155.1","3597712.7","43826037.9","9842337.3","-5240378","22428188.5","19168025.4","1352944.1","76380487.3","72455118.7","59703784.1","37423802.4","85659679.5","61992107.5","32673423.5","202357243.7","-99267649.5","167704894.1","38982882.3","-142057640.5","63141759.8","234964121.4","226616615","313981629.6","23108715.7","",
"Bolivia","BOL","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","716253874.1","693954454.3","809516354.4","851175724.6","946414912","1080565198.2","1360672695.7","1803420861.4","2238360353.6","2633582875.2","2784672649.8","3310315978.8","3422096975.7","4164917350.3","4412205630.3","4898177366.7","5670015389.5","5934538201.2","4997498695.1","4229853023.5","4369976028","4158857030.9","4332374230.3","4400366539","4965186858.3","5359275052.5","5275484513.9","5313085255.3","5688227905.2","5655151008.4","5892765188.4","4794042371.9","5107005795.5","5864138345.8","6284467791.5","6967641266.1","6255767963.5","5064781761.7","5701040187.5","5780325836.3","5776504655.7","6181999152.8","6617099971.6","8141786946.8","8884014490.4","9895204080.3","10994252972.4","12990057752.2","13248377783.1","14301150537.3","15421072053.6","",
