"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Brazil","BRA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9536332657","10794671827","8460823205","8821366135","9144341075","9470908412","9066226970","8794610244","9433008423","10375405701","10715074538","11062943562","9391878571","5944927280","",
"Brazil","BRA","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","0.614221592251358","0.762923351158645","0.708693860733416","1.04485038026868","1.8240268362569","0.927725192753714","1.71740379092476","1.69225190378339","1.77508503401361","0.96346118887475","1.58013708885213","1.74304024255788","1.81314536635078","3.11076337355617","6.96829528171698","6.81530647581669","3.79702457469165","3.97551450839526","3.28687156645804","3.46202403731322","5.13435686271782","5.64711843785649","5.61234939027142","6.21472184314555","5.22019395301181","5.54671465714346","4.91520286271528","4.96880572110018","4.02483684714795","3.63446486024422","3.2349190879166","3.32211046055582","3.31089593237633","3.42815641907609","2.86534796043428","3.54992019155487","3.55745373474594","3.99581367697784","3.51916222920706","3.19824081708679","2.69837571272389","3.80221739885274","4.31605246342428","3.74579043520474","4.13097151871839","4.3958081371498","4.85567877050958","4.38609214821041","4.96022875741379","6.03733706087049","6.22785176930887","5.90372431201618","6.11663081631136","5.80184050064132","5.95539235717459","6.34233866711312","6.19350019072595","6.24259944345462","4.75363791832912","5.5670264819982","5.43056720454793","",
"Brazil","BRA","Import value index (2000 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","42.57340463","41.06906815","35.93522143","28.65573379","25.9421291","24.444615","26.53397123","28.28050247","27.38335849","33.89959151","38.41754718","39.14242587","39.34488022","47.31325846","61.39586052","92.31658573","97.16557077","109.547569","103.424779","88.27383226","100","99.55425352","84.78817663","86.76385327","113.2840636","132.3730629","163.425427","215.9587983","310.9949662","227.9496003","326.6141684","404.076858","397.9973808","427.2567101","407.8155865","305.3915317","244.5484387","268.6464415","321.5438278","314.3930072","283.5390875","",
"Brazil","BRA","Insurance and financial services (% of commercial service imports)","TM.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","2.21943048576214","2.93644408688656","2.24382946896036","0.779661016949153","0.923718712753278","1.14813147230977","1.40388768898488","2.07307060755337","2.19603642206749","4.57456541628545","3.98476413712277","4.38988095238095","6.60300136425648","4.54029511918275","3.37784760408484","2.73280855487895","3.00893276915844","2.61764260856408","7.47051114023591","2.66368442456283","9.55854418357268","3.08120953863804","9.81228141138024","7.18004466174316","6.87383687364511","6.62258388713908","7.13325947840955","9.69914181951941","9.5507140905951","7.52811698152648","6.77526228554956","6.25517087324492","6.33940957185606","6.53526536238969","8.01370396297045","5.21647749848965","4.71599268610979","4.24043371911459","3.67574826857164","2.84086893261824","3.39953708165773","3.61593690613931","3.00234540654249","2.73291612891488","3.32664693966781","4.21579061961148","5.20364642890582",
"Brazil","BRA","Share of tariff lines with specific rates, all products (%)","TM.TAX.MRCH.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4942168","0.1058171","0","0.0171904","0","0","0","0","0","0","55.59061","0","0","0","0","0","0","0","0","0","0","0","0.000523","0","0","0.0010117","0","0.0063757","0","0","0","0","",
"Brazil","BRA","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.29137503357401","7.55551516253143","8.05318375807918","7.93265593695525","5.57559916700576","6.23404568392879","5.16075588610344","4.71216847072282","4.490594795224","4.67706003875018","6.03335393366201","6.23418116554125","6.60873288106431","6.01897034159139","7.39525219906211","7.74695771815235","8.14536668423514","8.55038759721624","8.99366299308421","9.40724949616022","8.36692181287584","8.38406048505431","9.84804690416037","8.30927161881314","7.87235439642518","2.84830920349258","",
"Brazil","BRA","Rural population","SP.RUR.TOTL","38876458","39294349","39711702","40112607","40484458","40822183","41120610","41382996","41605172","41791621","41936390","42020991","42061773","42074670","42064666","42040548","42000525","41947038","41875321","41786718","41678056","41556701","41413021","41239803","41025668","40768903","40461769","40113249","39724495","39305246","38857061","38382111","37879934","37359884","36824175","36276253","35718094","35033639","34328880","33609034","32874567","32687356","32532199","32356591","32162492","31950579","31719371","31470391","31206854","30936531","30658541","30356010","30046545","29735221","29416964","29096331","28776239","28454529","28133824","27807885","27477555","27140788",
"Brazil","BRA","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","5.86871811245804","5.97697123020629","6.07960188685366","6.16738143307666","6.22837736207905","6.25895578806309","6.30438764697055","6.32021836257392","6.31911968001709","6.31598629702068","6.31883930137027","6.35947040221144","6.39584214636612","6.42757013677889","6.4530578596731","6.47224295422309","6.51890639864174","6.55584081560174","6.58291722770562","6.59895114274456","6.60512974437277","6.63785662619415","6.65636669120615","6.6680153660702","6.68108342481732","6.70100440890024","6.76718025901993","6.8291182337933","6.89107487011901","6.95865747989861","7.03497636749891","7.16547432741713","7.29902581110921","7.42591272951335","7.53337136146208","7.61749686413779","7.72640774010944","7.8125652835416","7.89145232786042","7.98329068041679","8.09903293718074","8.26603001416237","8.45224912420308","8.64764222785241","8.83664909062529","9.01279856670244","9.20103424345171","9.3786209307164","9.55775826513978","9.75432240143227","9.97838710069729","10.241019306432","10.5223669310925","10.8262191847083","11.1569677053467","11.5185982521275","11.9193560128631","12.3445833852203","12.7938666350351","13.2660084630527","13.7625213232938","14.27760647783",
"Brazil","BRA","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","1.53176943021786","1.55181585591367","1.58142788235146","1.61142477629247","1.63033214038899","1.63377025585995","1.61325275745374","1.58422459363319","1.55595158178689","1.53991124518193","1.54110357686514","1.54691702399592","1.56496488905733","1.59031871449685","1.61703716737992","1.64187788028391","1.65391683537146","1.66710493161959","1.68037098155392","1.69153215056742","1.69950775799284","1.68974786559357","1.67941353887927","1.67281142662045","1.67535401010392","1.68963316656521","1.70040503105715","1.7195660884156","1.74714336920502","1.78384688021234","1.82960801248729","1.87649476907271","1.93204885153974","1.98833529282889","2.03447480386992","2.06558753539785","2.07820413027438","2.07721025887525","2.07473809652683","2.08762529380133","2.12423025595943","2.17176319844914","2.2431310816968","2.32460113634772","2.39666268571253","2.44957833526424","2.4796436754383","2.49436516304032","2.50731097540256","2.53809016898106","2.59717620253847","2.67123062961906","2.76832208301979","2.88210483924632","3.00375698711525","3.12810641984838","3.24346108993829","3.36463594344097","3.48848175061263","3.6112648957835","3.73111885833352","3.83612283463627",
"Brazil","BRA","Population ages 25-29, female (% of female population)","SP.POP.2529.FE.5Y","7.20975271097102","7.20485799072969","7.26211725586728","7.34326382622423","7.39352928695987","7.38565250571157","7.31353220982525","7.2022738133231","7.08526114942975","7.01160913536104","7.00833386807419","7.0650422081538","7.17626301365619","7.32367934610434","7.48001431685141","7.62769372884091","7.76783875521075","7.9011327442946","8.02434215913023","8.13402013859242","8.22815281402648","8.293189331071","8.34142822718202","8.38230543662021","8.43151790998106","8.49757061269435","8.57243682069224","8.66764450909333","8.76336072163968","8.83140975442501","8.85685595099812","8.85775222599826","8.81995923618572","8.7552844058675","8.6799220490097","8.60369638793337","8.51966915105314","8.43132447488715","8.35232696263875","8.3010856303576","8.28789743597302","8.30446708296189","8.35780682841722","8.4362634629161","8.52345699771265","8.60809415426819","8.69976937512073","8.79128195616798","8.86658118854332","8.90325613716521","8.8883231908312","8.82866368209403","8.71675561710023","8.57163057513077","8.42210875128144","8.28624546248437","8.16082826270515","8.04619151292937","7.9445000750941","7.85763333621857","7.78607813245183","7.73470576445407",
