"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Germany","DEU","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","IQ.CPA.TRAN.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","CPIA quality of budgetary and financial management rating (1=low to 6=high)","IQ.CPA.FINQ.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Investment in water and sanitation with private participation (current US$)","IE.PPI.WATR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Start-up procedures to register a business (number)","IC.REG.PROC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","","",
"Germany","DEU","Time spent dealing with the requirements of government regulations (% of senior management time)","IC.GOV.DURS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","",
"Germany","DEU","Firms using banks to finance working capital (% of firms)","IC.FRM.BKWC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.2","","","","","","","","","","","","","","","","",
"Germany","DEU","Business extent of disclosure index (0=less disclosure to 10=more disclosure)","IC.BUS.DISC.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","","",
"Germany","DEU","Other expense (% of expense)","GC.XPN.OTHR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.26374481694805","6.71114663377664","5.46636164538837","5.20707636614377","4.05511473667975","20.1311745517269","3.709991653879","3.4437639891494","4.06820687048508","3.87319796026146","4.42946426790591","4.39949716277505","4.38278123222288","4.37818362267429","4.26007854194345","4.21847184455727","4.1788491344269","4.36162049989753","4.99495043064882","4.71374281325134","8.04029364910505","4.08878001308271","4.08104131003843","4.19828527037455","4.16507667208352","4.11305584735224","4.2221815043498","5.17520672071767","4.47129557761111","4.51005038895345","4.30685212652065","",
"Germany","DEU","Taxes on international trade (% of revenue)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","0.811641532993945","0.416907454800627","0.218927638654172","0.0293051027510165","0.0330873837805645","0.0303702128951924","0.025539160045403","0.0238334833960066","0.0187930183936668","0.0177175381480743","0.0208146868430365","0.0182278481012658","0.015180265654649","0.0108266118118335","0.0104273474565962","0.00845522955948253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Germany","DEU","Net lending (+) / net borrowing (-) (current LCU)","GC.NLD.TOTL.CN","","","","","","","","","","","","","4356206827.79219","8313605988.25078","-1605456506.9567","-15875612911.1418","-14116768839.8282","-11918213750.6841","-11882423319.0001","-11570535271.4709","-11100146740.7703","-15308078923.0146","-12935684594.2647","-13324266423.9735","-11161501766.5139","-5174273837.70618","-4601626930.76556","-9331076831.83051","-15103562170.5361","1840650772.30688","-7510877734.77258","-37826000000","-27046000000","-31927000000","-19922000000","-149150000000","-41413000000","-30061000000","-35032000000","-24467000000","-23677000000","-29779000000","-42651000000","-36029000000","-41314000000","-50287000000","-27888000000","-4151000000","-7536000000","-53370000000","-83673000000","-12127000000","4658000000","4378000000","18878000000","20758000000","22451000000","19066000000","37098000000","31121000000","-121464000000","",
