"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Dominica","DMA","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","18.18067803","35.7744744","45.6273154","51.15086364","47.85028415","53.06215765","81.04159085","89.576253","101.1998544","84.17158907","102.7074643","101.3478533","99.77884158","91.01406269","87.99324394","84.16351577","95.76075069","97.7832356","115.7457831","103.9951402","100","82.11620937","80.24993188","74.65856453","78.37432301","77.97867218","77.40012616","68.74059863","74.63990176","62.49416788","68.72380213","54.09405292","63.17349289","66.2397868","67.19453703","56.38210912","33.10216376","21.89143491","18.95391414","33.89719797","26.41155898","",
"Dominica","DMA","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","3.95778364116096","5.88235294117647","5.0357077458341","8.54831323462067","11.3033707865169","3.65213882163034","3.31868328998116","6.47577436217524","3.53227771010963","3.33474807494089","4.02625337819204","3.31159757801583","3.12308097201509","2.79856444715942","3.90843577787197","3.15603238826492","2.67588653458472","2.60129192329872","1.50459720566754","2.06525675828804","2.26352385692752","2.07789667574965","2.32257340791682","2.26468369413513","2.02740653297583","2.42286036315237","2.58512841887721","2.60082013320734","1.78968638031672","1.61789032614503","1.65985437816348","2.27476612928837","4.0253554587897","2.37640157403183","6.45559927768556","6.05250155788335",
"Dominica","DMA","Merchandise imports by the reporting economy, residual (% of total merchandise imports)","TM.VAL.MRCH.RS.ZS","","","","","","","","","","","","","","","","","12.2455403987408","18.5748891631245","19.3922768516565","23.0166591625394","20.4509701101206","27.4697655164257","1.52974504249292","2.40216428005038","1.76984900466558","2.02461222255374","2.88317404202072","2.94778548746251","2.62264131577529","3.38098208515003","2.35485984578237","16.3316467929887","12.5211415387629","9.76778538283884","1.95942223008651","2.26392448650976","1.98621388265672","9.28066704540115","2.58745296889385","2.00498141314906","2.99086360189883","2.736225996479","3.25251868084285","3.27940565342383","2.72318689015617","2.17605483966235","2.13774652783299","3.01719886196575","2.58219236904715","8.37815972360678","8.88524614175235","9.65138858976277","8.93549167153095","8.73508557310933","9.95084229536688","9.54987554092191","9.17860527360673","4.53659420418157","1.81472090296784","1.59552859133484","1.29427013163874","",
"Dominica","DMA","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","35.0736120349154","34.728505752851","32.6688602739746","27.3449762446753","31.0310164974978","","29.123389222744","","26.3611031335897","27.7877812509206","26.83912238548","","","","","","27.2470927356136","27.9710217909188","26.2178551454349","27.8011568172457","26.3097043238458","","23.4165304507352","21.0448284563317","22.5283052062643","24.2384280586676","23.6711996130257","21.8227060011551","19.4201643813625","20.8324655020786","21.0192666259951","21.8884998045828","22.0659755103949","22.4754389111363","","24.9289608267261","","","","","","","","","",
"Dominica","DMA","Share of tariff lines with international peaks, all products (%)","TM.TAX.MRCH.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.01432","49.32323","49.32323","41.48304","9.401512","43.68288","45.82848","46.19593","","","38.87793","43.33563","","","44.7714","36.75565","35.83931","41.08882","","51.20538","39.23952","35.77573","","","32.16018","",
"Dominica","DMA","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42000000","44000000","48000000","47000000","51000000","48000000","46000000","46000000","52000000","61000000","57000000","72000000","74000000","76000000","77000000","94000000","106000000","76000000","82000000","216000000","202000000","197000000","161000000","88000000","124000000","32000000","",
"Dominica","DMA","Completeness of birth registration, urban (%)","SP.REG.BRTH.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Population ages 80 and above, male (% of male population)","SP.POP.80UP.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Population ages 15-64 (% of total population)","SP.POP.1564.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Population ages 0-14, female (% of female population)","SP.POP.0014.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
