"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Eritrea","ERI","Investment in ICT with private participation (current US$)","IE.PPI.ICTI.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","76","76","83","84","84","84","84","84","84","84","84","84","84","84","84","","",
"Eritrea","ERI","Firms experiencing losses due to theft and vandalism (% of firms)","IC.FRM.THEV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","",
"Eritrea","ERI","Time to export, border compliance (hours)","IC.EXP.TMBC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Human capital index (HCI), male, upper bound (scale 0-1)","HD.HCI.OVRL.UB.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Interest payments (% of expense)","GC.XPN.INTP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Customs and other import duties (% of tax revenue)","GC.TAX.IMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Net investment in nonfinancial assets (current LCU)","GC.NFN.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","FX.OWN.TOTL.40.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Broad money (current LCU)","FM.LBL.BMNY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3218503741.4076","3895768670.078","4989370656.31337","6013402939.00469","8183590266.81634","9596427661.67","12702856853.392","15339710073.666","17650170813.37","19714072679.75","21816771075.67","23073943958.69","25869048931.61","29975956821.51","34688597639.84","40096769013.43","45960580966","52578621574.67","61236808235.71","69140312073.42","","","","","","","",
"Eritrea","ERI","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","475","2706","3559","3252","1038","1852.90002441406","6997.0498046875","12712","8880","7852","6689","7404","4027","8813","2232","1965","3330","3586","2939","4452","4300","4300","4300","4300","4300","4300","","","",
"Eritrea","ERI","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","33.3333333333333","40.8450704225352","42.3076923076923","44.7058823529412","45","38.9830508474576","33.3333333333333","32.7868852459016","37.3134328358209","40.9090909090909","40.2985074626866","37.8787878787879","31.0344827586207","28","24.4897959183673","25.5813953488372","24.4444444444444","29.1666666666667","29.4117647058824","30.9090909090909","30.9090909090909","30.3571428571429","","","","","","","",
"Eritrea","ERI","Nitrous oxide emissions (% change from 1990)","EN.ATM.NOXE.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.58278964418817","2.15731040063047","-16.0501848392695","-13.385431236483","-10.2252662798427","2.38050118664104","16.3846702220779","24.7453008112474","34.3506261073061","31.9935870248548","22.7835079455318","13.6405064204951","16.894820590102","14.438217962948","15.6368908500802","16.5365723068964","23.979473666796","17.6817034690827","20.1145431958394","19.7911872727109","20.989099145438","22.1870110181651","","","","","","","","","",
"Eritrea","ERI","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","141.354880077362","141.530959819794","116.016859096527","123.772380947113","129.625380718231","119.447600269318","123.944220088959","119.542271389007","130.976980236054","133.78910944748","138.509760448456","164.19530903244","132.723699642181","136.729540233612","129.999109172821","124.351410655975","158.176630153656","164.131981563568","170.536769496918","176.557119716644","-37.7954182624817","-48.3018593788147","-24.5072803497314","-14.1616439819336","-8.1260986328125","5.56076240539551","-5.42541885375977","-9.75080108642578","-15.9045066833496","-15.6199913024902","-26.5697021484375","-31.2397727966309","-27.6821975708008","4.4018383026123","12.1644535064697","4.67710494995117","1.67386817932129","22.7512245178223","19.5745868682861","19.1934108734131","26.0693435668945","21.2937526702881","33.9191188812256","54.0307445526123","73.5747623443604","47.1191844940186","35.85986328125","","","","","",
"Eritrea","ERI","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)","EG.USE.COMM.GD.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",
"Eritrea","ERI","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.105442803141601","","0.226757893765627","2.92491409478567","5.299090060889","4.28643361718748","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Net official flows from UN agencies, UNTA (current US$)","DT.NFL.UNTA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330000.013113022","500000","1159999.9666214","759999.990463257","1379999.99523163","680000.007152557","1470000.02861023","2319999.9332428","550000.011920929","1700000.04768372","2799999.95231628","2019999.98092651","2000000","1480000.01907349","1960000.03814697","1070000.05245209","","","","","","","","","","","","","",
"Eritrea","ERI","PNG, bonds (NFL, current US$)","DT.NFL.PNGB.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)","DT.NFL.DPNG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20804700.8","19749694.8","19049691.8","20607797.2","22524544.3","23540746.1","21665077.6","22803908.8","23953653.9","23347631.4","23763267.6","23343993.4","23271840.7","23296851.6","23343538.7","21960986.6","21004904.1","20377380.8","21587026.7","21081618.6","20960870.2","21831589.4","",
"Eritrea","ERI","Net bilateral aid flows from DAC donors, Norway (current US$)","DC.DAC.NORL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6789999.96185303","9119999.88555908","14130000.1144409","13420000.0762939","8810000.4196167","5389999.8664856","7440000.05722046","6409999.84741211","4550000.19073486","13460000.038147","21549999.2370605","18629999.1607666","18829999.9237061","17899999.6185303","10180000.3051758","8899999.61853027","9630000.11444092","9630000.11444092","8069999.69482422","3200000.04768372","39999.9991059303","140000.000596046","1370000.00476837","1990000.00953674","519999.980926514","560000.002384186","589999.973773956","209999.993443489","",
"Eritrea","ERI","Net bilateral aid flows from DAC donors, Czech Republic (current US$)","DC.DAC.CZEL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9999.99977648258","","","","150000.005960464","9999.99977648258","9999.99977648258","","","","","","","","",
"Eritrea","ERI","Personal transfers, receipts (BoP, current US$)","BX.TRF.PWKR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6808773.61208445","6411407.75061625","8241677.40549828","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Secondary income, other sectors, payments (BoP, current US$)","BM.TRF.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","599439.013207841","1598672.35850136","2481571.57210663","2258888.09815803","11483078.232289","4538337.62886598","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.2900009155273","58.7000007629395","60.1699981689453","65.8499984741211","67.1699981689453","73.4000015258789","74.4300003051758","76.7799987792969","76.9700012207031","75.9300003051758","82.3300018310547","84.629997253418","86.6100006103516","90.8899993896484","98.8099975585938","90.0500030517578","99.3099975585938","100.449996948242","102.029998779297","102.889999389648","100.879997253418","99.9499969482422","99.1699981689453","100.879997253418","102.629997253418","103.080001831055","103.610000610352","","",
"Eritrea","ERI","Rural land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1465.244019","","","","","","","","","","1465.244019","","","","","","","","","","1465.244019","","","","","","","","","","","",
"Eritrea","ERI","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37265725.5689132","79515030.9798822","133652597.402597","130265625","191341419.289883","214739093.598522","240706977.818226","313556889.826558","155378670.12987","265289809.45223","215506677.078706","230998205.780413","224726745.240254","223413673.956754","165700468.292683","167034491.056911","175470861.788618","172000487.804878","196867869.918699","260733665.04065","","","","","","","","","","",
"Eritrea","ERI","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6363598100","6415711300","7853340200","8373313900","8899541200","9280083200","9959175800","10252167700","8603454500","8564200700","9244527900","10133423100","10474619000","9692639500","8503213200","8062800000","7315899300","7824057700","8027152700","39619657100","","","","","","","","","","",
"Eritrea","ERI","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.7679608542553","31.173873947519","30.1722032242306","43.9137134052388","38.7333847479926","29.9231587849458","52.3324361222187","62.1334122674263","54.7967675739453","42.6496702897897","39.6566674494096","46.6010876716847","36.6109537793928","35.2340523764362","25.9198801238168","25.6346449489988","26.3608426886223","20.1117340589011","31.8062662651194","26.6169943369009","","","","","","","","","","",
"Eritrea","ERI","Logistics performance index: Overall (1=low to 5=high)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.19","","","1.7","","2.11","","2.084755","","2.171842","","2.09","","","",
"Eritrea","ERI","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25852.15","19202.06","22527.11","12551.97","12551.97","12551.97","37259.65","27452.8","","",
"Eritrea","ERI","Statistical Capacity Score (Overall Average) (scale 0 - 100)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.7777777777778","40","42.2222222222222","37.7777777777778","37.7777777777778","32.2222222222222","32.2222222222222","32.2222222222222","32.2222222222222","31.1111111111111","31.1111111111111","27.7778","28.8889","28.8888666666667","27.7777666666667","27.7777666666667","31.1111","",
"Eritrea","ERI","CPIA fiscal policy rating (1=low to 6=high)","IQ.CPA.FISP.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","",
"Eritrea","ERI","Public private partnerships investment in ICT (current US$)","IE.PPN.ICTI.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Start-up procedures to register a business, male (number)","IC.REG.PROC.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","","",
"Eritrea","ERI","Cost to import, documentary compliance (US$)","IC.IMP.CSDC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Bribery incidence (% of firms experiencing at least one bribe payment request)","IC.FRM.BRIB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","",
"Eritrea","ERI","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Other taxes (% of revenue)","GC.TAX.OTHR.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Grants and other revenue (current LCU)","GC.REV.GOTR.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","FX.OWN.TOTL.OL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0146243883978","33.2942657533004","33.1569438318638","45.1015753151733","31.5967239383958","26.8195987153122","27.6370906534872","26.4807409145381","27.6631095594209","25.5520996132118","26.0575146392292","25.1030714627264","20.2101410006934","21.5324638912603","16.2286966415841","19.3073629036614","17.2254406663433","15.8578260542556","15.5510346448241","18.9984175919818","","","","","","","",
