"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Guatemala","GTM","Imports of goods and services (constant LCU)","NE.IMP.GNFS.KN","18783975285","17385411969","18738494634","24264531064","26629583483","28085000479","28551188838","30370460039","31575727368","30904871051","33349516858","35487160554","33508703106","36862984514","42150241661","40035338908","51974306601","56829486891","59308244025","54896511152","50166405784","48108355124","38011399574","30461423634","32633178832","28426113917","24287271654","35907867028","37260950045","39444075627","40979085834","41985256500","57420750200","59960384500","62935188700","67712486000","63066447900","75365995900","93831509300","94499511300","100203302200","107137595200","109265732100","109852317800","116096011900","115431977100","122877407500","131767182700","124194301900","114505445700","125949795600","134768772600","138531371000","144431121000","149298727000","154745088000","156203338000","160615731000","166923108000","175120358000","167059129645.498","207586417285.79",
"Guatemala","GTM","Gross fixed capital formation (annual % growth)","NE.GDI.FTOT.KD.ZG","","5.28757400409509","-4.22907263542206","18.4912528962032","22.5155332406808","5.70349828941912","-0.539568167751241","11.0307418868325","13.6807821271973","1.57593071157723","-1.45745203689711","8.54007713217","-0.571429039282549","11.3616264624232","-1.86581946194508","9.46601995636655","37.2505535756294","9.26225114407937","7.36816163496266","-5.21000689451658","-9.68522992737466","7.77479897625737","-10.9452735631884","-27.9329608634575","-8.91472863819716","-6.38297851874142","3.90908994846797","16.4479442395291","12.6220887563957","6.3709143560903","-10.2539982477224","5.17120854639484","24.9169435279369","9.52944175677968","-2.62083410748708","8.69338275568863","-1.98248905237871","22.5043133530943","17.4264514138425","5.80683983559803","-8.80888565247453","1.83299242536756","9.28165272265605","-3.12486323765565","-1.16263462364184","4.27545150012175","15.7317466233593","4.95261454893343","-5.83539548627985","-13.1286184246477","-2.06590488422491","7.10545375662539","3.60888004132912","1.48924707134832","4.3320230428679","-1.54279795797039","-1.72448901889598","4.08452309623412","4.45594962016567","8.68927398960182","-5.88226444239353","18.766222441791",
"Guatemala","GTM","Gross national expenditure (current US$)","NE.DAB.TOTL.CD","1063400000","1093300000","1162300000","1283600000","1334200000","1369000000","1393400000","1501500000","1637600000","1709000000","1888900000","2012800000","2093500000","2551800000","3264500000","3711900100","4627700000","5579200100","6421900000","7213399800","8093999900","9168000200","9057000100","9191000200","9673500300","9822347913.04348","7126392465.75342","7541000160","8298969847.32824","8845276526.98864","7941934883.40987","9746132315.21804","11404560437.8602","12354444121.0917","13935036722.7709","15559839087.1855","16422951815.7342","18793336923.0008","20962748764.544","19848120401.3378","20977664133.3471","21158413152.4699","23567499763.4785","25076238726.089","27590531806.4557","31548676456.3329","35356875529.4241","39833182646.3191","44885077896.8254","41188191531.0723","45679918277.9419","52769736429.7274","56054687142.5654","59721223920.6802","64560127376.4259","68550095652.4011","71910417689.7065","78159848065.4337","81034940326.0985","84951748008.8869","83851790986.3228","96715482737.1351",
"Guatemala","GTM","Households and NPISHs final consumption expenditure: linked series (current LCU)","NE.CON.PRVT.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25176882142.1106","34815587230.2979","40010550915.9984","47776545499.9949","56385774600.9819","63954064764.4283","72878092363.61","82293795549.1962","92491505605.7465","100497466448.231","110240965376.977","122599385800","135231881900","147086545300","162860782200","182230840200","201705593800","228460833300","264134378400","264614805300","286760309500","316528203000","339235977800","356250549000","381426238999.999","401369943000.001","424513915000.001","447059542999.999","472366823000.001","503091308999.999","500788144450.031","567332406384.629",
"Guatemala","GTM","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","16000000","","1000000","7000000","8000000","5000000","","1000000","16000000","1000000","","46000000","1000000","0","15000000","47000000","15000000","1000000","1000000","5000000","8000000","48000000","16000000","1000000","7000000","25000000","2000000","0","0","4000000","0","0","","13000000","4000000","4000000","2000000","","1000000","","","","","","","","","","0","","","","2000000","","","33000000","","","4000000","14000000","","",
"Guatemala","GTM","Fixed telephone subscriptions","IT.MLT.MAIN","17821","17821","17821","17821","17821","24306","24306","24306","24306","24306","37871","37871","37871","37871","37871","47583","52770","64486","74237","78623","82975","88587","98670","106125","117151","128179","130971","132718","138222","158840","190218","202209","214409","231090","245094","286352","338035","429712","517000","610701","676631","756085","845968","944140","1132121","1248161","1354926","1413695","1448891","1413234","1498604","1626341","1743842","1863052","1718298","1718851","2454778","2461109","2436093","1974006","2272467","",
"Guatemala","GTM","Statistical performance indicators (SPI): Overall score (scale 0-100)","IQ.SPI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.0166666666667","62.3233333333334","62.4625","61.0329166666667","","",
"Guatemala","GTM","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Industrial design applications, nonresident, by count","IP.IDS.NRCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221","205","240","310","295","210","187","235","223","200","131","",
"Guatemala","GTM","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","","",
