"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Italy","ITA","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75000","","","17000","3700","1600","1300","31000","2100","3300","3400","2000","2600",
"Italy","ITA","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","5.17891031106466","5.42578143698243","4.81126204424988","4.71379803112099","4.11680067710537","2.91852452371301","2.89918269709957","3.03874078079875","3.31014915374461","3.45950276572714","3.35276525329811","2.99643882215372","2.68129353931826","2.50362615879422","2.98049773458533","3.3820783175798","2.37709607497119","2.0967378680221","2.36583319947886","2.42874481138088","2.54146550757801","2.93355343955851","2.18148482631894","1.61555334766323","1.62994433970121","1.34451802125243","1.4193879701371","1.30736273379562","1.3382399310874","1.41209061326092","1.37211775841233","1.64659975779108","1.90340614005155","2.17264293649821","2.73081963193337","2.69923558193091","2.76711435746224","3.24440502943698","3.18228514866428","2.68614862048136","2.53353949454782","2.5252823975435","2.09076081836186","1.91145072796756","1.85327871103141","2.01805845050962","2.14159097053614","2.32098062737635","2.39533937738118","2.2001458601466","2.68001059130221","2.9903479759421","3.09722590191129","3.03935912582608","2.78852722816475","2.71639993829173","2.55024604980757","2.72015636477224","2.56162882866325","2.39694603704179","2.24674976376683","",
"Italy","ITA","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.1563516571364","50.4926909671768","50.245751141924","50.1905870956561","50.47383677956","51.6349334441685","52.2148104101714","52.1328260132125","53.3210032746316","53.5888954875594","53.4040559963975","53.3114928534987","53.67826044847","53.899836560594","54.170369327265","54.0422498305446","53.9831660246794","54.4685312560802","54.1296208093291","54.8533055306393","53.9328576845319","53.6877099530872","53.2650978908414","53.6527363408583","54.2067517298243","55.0034537950718","55.7158642402285","55.2925070543195","54.1429850140882","53.8138510896082","","",
"Italy","ITA","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","17.9677872662415","16.3185937074632","17.0797656602073","17.0523882482595","17.8996248832118","19.640091553253","20.4983303365014","18.7776528707418","19.6834257162932","19.6135901903944","18.8972578872598","18.67973732994","17.0030508052466","18.1076795288077","22.8451361261388","22.0652323979067","21.7180033392826","21.6518956946931","21.4966335931963","21.1963695945842","20.0977006467465","21.08262202083","22.2620045906301","22.890468765361","21.986640938103","23.2153253001461","15.6031931725272","14.4988482948365","13.6767855983729","14.6381031291236","14.8766192170774","14.2842478387387","14.0049362852441","18.5175043495348","18.5359014715911","18.4645220020465","18.7769613793146","18.7500763849844","17.0761288284933","17.7793362972516","21.9754215679931","21.4383850671049","20.8141024111804","21.2819133824492","22.9942497213465","26.0240910605678","28.7396817093422","29.283365140563","32.2742528806299","29.6228238189475","32.862466890038","32.8313070764684","33.818230658652","32.5353857021262","31.1118814519155","29.4962554111638","27.5589270885572","27.8724253602223","29.2099009242111","28.8714954154263","26.9367676701153","",
"Italy","ITA","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.87","6.23","6.78","6.57","6.61","5.52","5.55","13.06","11.09","9.61","9.21","9.51","7.93","9.87","6.42","6.54","6.85","7.36","7.24","6.51","5.94","6.25","6.3","5.84","5.6","5.38","5.72","5.69","5.32","5.16","5.24","5.87","2.21","",
"Italy","ITA","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.55","2.84","5.86","4.32","3.3","3.14","3.95","4.23","2.82","2.23","2.86","3.31","2.3","3.04","1.75","1.68","1.76","1.7","1.8","1.67","1.59","1.6","2","1.51","1.5","1.47","2.07","2.03","1.75","1.87","1.81","1.79","1.6","",
"Italy","ITA","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Population, female","SP.POP.TOTL.FE.IN","25794879","25964789","26138706","26327740","26541784","26761059","26962781","27150216","27313588","27461125","27601465","27727502","27884366","28075511","28264021","28440396","28593188","28728395","28844774","28938963","29003779","29037088","29051541","29052240","29050056","29053777","29055645","29062997","29084322","29114370","29146541","29173243","29198819","29223132","29238360","29252149","29279269","29318010","29349203","29369602","29386547","29391908","29412462","29515905","29686364","29825093","29924053","30098000","30326738","30489592","30596015","30647051","30716752","31053693","31315785","31262660","31188515","31121471","31042688","30667514","30504672","30288958",
"Italy","ITA","Population ages 65 and above, total","SP.POP.65UP.TO","4779726","4878386","4978144","5082241","5192586","5307356","5437863","5570664","5705453","5844659","5989892","6135684","6279590","6429382","6587281","6756176","6941413","7140405","7329495","7469442","7538588","7567475","7524587","7452113","7412077","7439750","7576249","7767424","7994614","8223700","8434422","8652236","8856609","9049666","9233643","9414464","9615975","9812225","10004490","10201589","10411672","10585519","10774557","10992058","11214743","11396665","11538993","11673629","11814499","11950013","12108503","12270034","12480810","12829406","13151936","13329540","13480440","13620571","13746965","13744938","13852865","13944167",
"Italy","ITA","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","5.14656092236837","5.29604748042923","5.74188596801802","6.33833892335501","6.85584608338779","7.15840326612535","7.27993209956127","7.22437039039558","7.05137117460659","6.86507841465972","6.73083793176431","6.63388948200364","6.55717388042872","6.50353818278584","6.47259748588601","6.46296855047577","6.47205385671959","6.52416740603008","6.58909232674479","6.61786896849116","6.58361168819352","6.49009035801148","6.32508823480701","6.14105018091399","6.02112509871693","6.01318607572955","6.09510450346412","6.28965928235047","6.53990942512753","6.75212241655806","6.86899031655633","6.8976066788228","6.83834234761199","6.72770413959678","6.62878035548031","6.58167500645095","6.55080746664815","6.56311078756293","6.61863552882461","6.70957903557175","6.82785484123012","7.00109676403486","7.20735727519182","7.42670178446433","7.62991210545293","7.7975122220846","7.89447385204029","7.95082371665988","7.97719284863588","7.99131749443611","8.00352180118707","7.99838960780701","7.98662930255379","7.95601057142587","7.88819186205778","7.77528072881135","7.61997388198532","7.42107548839452","7.19557158254919","6.96900841990801","6.75814865622384","6.5633407838525",
