"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Kenya","KEN","Imports of goods and services (constant LCU)","NE.IMP.GNFS.KN","152624604130","155596154450","158559771700","153748738490","167245222090","170541219780","200160487190","203513031500","218641648110","223774146340","263633606040","306326705090","257292644110","253320985420","303677609500","231361274660","225228668500","266456331310","339599144540","274970146870","302429459010","238809498940","200297406680","163450176760","192653724690","178933990510","209074147570","236852938710","258234214100","283457173810","293033604040","279897265800","273342987100","365773595800","427304044900","502046236800","511186112000","565132529800","591584616500","582834275200","594015836600","709668060500","629575253800","629187489500","706551585000","812134248500","1017742649300","1062580708700","1197994617800","1298000000000","1432000000000","1629000000000","1636000000000","1669000000000","1859000000000","1772842000000","1641477800000","1845374500000","1871835100000","1906360500000","1730361000000","2057942100000",
"Kenya","KEN","Gross fixed capital formation (annual % growth)","NE.GDI.FTOT.KD.ZG","","","","","","","","","","","","","","","","","","","","","-1.49187837090548","4.86331115083927","-20.1736029246153","-9.91747746887887","-1.85674760529768","-2.8962810059891","13.9606899081973","9.52560670476643","-1.14399921177383","4.58363830444037","0.839888100535106","3.086990998799","-10.1875601195456","9.3244087559645","10.2140442305038","8.44233758005186","6.24556037411222","3.1200035163607","8.09153632606143","-0.756992867872626","8.26100952862636","12.3817383938009","-6.1208730526444","-7.9522119706637","7.33505804873722","27.7986074013959","31.7471658803299","2.19783638140605","12.8535396648592","9.96891394469974","16.8284789644013","2.03139427516159","12.6696832579185","2.40963855421687","19.843137254902","0.14797120418848","-3.76667771053435","8.00843530005343","-0.391033343143334","4.50130095567522","2.48572313851167","10.866799791302",
"Kenya","KEN","Gross national expenditure (current US$)","NE.DAB.TOTL.CD","","","","","957039518.366881","990919476.785964","1146599260.3811","1243759781.43392","1351895318.08735","1437379283.82076","1616887211.86429","1894871102.63518","2151967139.51442","2540992958.35","3184392893.64264","3412085446.50318","3450567667.07885","4340522800.16684","5823491741.1718","6348714006.07227","7725653833.91264","7076431257.16955","6675739827.06756","6008556500.87498","6279213605.38226","6198069430.9782","7239841630.54652","8378247276.78961","8806306382.45122","9260834040.16921","9017795847.67002","8253880848.77435","8201524443.76847","5476645392.43086","6924019318.25886","9582268256.92497","12799199508.3595","14146237642.9805","15593133300.3129","14166882328.3499","14072346095.5294","14847364729.7523","14571734788.0801","16653212265.6728","17760761767.1502","20692126568.9089","28204666245.0347","35135239521.3139","39705154874.6446","44484951908.1601","48603363236.623","51829282024.2583","61848157331.8695","68297746592.3697","76999893087.2976","77375657603.2431","81073799756.4638","90987166730.0062","100342249283.328","109348936170.213","108507643906.857","119100920577.502",
"Kenya","KEN","Households and NPISHs final consumption expenditure: linked series (current LCU)","NE.CON.PRVT.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209060224354.776","242945460103.819","303644128139.26","359245787700.149","426594421301.59","549696976457.961","686082495811.633","779377193273.263","866557730113.242","934250035434.897","993324310755.108","1064200856246.14","1067032457220.15","1144204071172.84","1261678805655.56","1399345739120.97","1623663514293.45","1842045900655.29","2139496075674.43","2374000000000","2620000000000","3164000000000","3585000000000","4063000000000","4567000000000","5198813000000","5802420900000","6609665100000.01","7201648300000.03","7926320699999.98","8104502200000.01","9135682100000.02",
"Kenya","KEN","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","6000000","15000000","19000000","2000000","2000000","3000000","0","20000000","9000000","2000000","28000000","25000000","17000000","58000000","211000000","56000000","119000000","144000000","91000000","20000000","12000000","6000000","26000000","176000000","","23000000","42000000","14000000","","","30000000","","","58000000","","","12000000","","","","","","","10000000","","34000000","116000000","14000000","62000000","1000000","17000000","30000000","29000000","16000000","5000000","16000000","60000000","",
"Kenya","KEN","Fixed telephone subscriptions","IT.MLT.MAIN","","","","","","28000","28000","28000","28000","28000","39000","39000","39000","39000","39000","53000","57000","62400","65300","69700","73900","80200","88100","95700","106100","118361","129453","137505","151964","162894","175050","200000","207442","214759","228522","256434","266780","271816","288251","290000","291706","309379","321482","328358","299255","286729","293364","463766","646356","664099","380748","283546","251567","204354","179990","85496","72801","69861","65644","70394","66646","",
"Kenya","KEN","Statistical performance indicators (SPI): Overall score (scale 0-100)","IQ.SPI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.9166666666667","57.3279166666667","54.9629166666667","54.5379166666667","","",
"Kenya","KEN","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","3.65","3.625","3.6","3.74166666666667","3.79166666666667","3.79166666666667","3.85833333333333","3.85833333333333","3.81667","3.81667","3.775","3.73333333333333","3.69166666666667","3.69166666666667","3.69166666666667","",
"Kenya","KEN","Industrial design applications, nonresident, by count","IP.IDS.NRCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","14","13","","","12","10","11","15","18","32","10","14","7","28","10","8","17","12","15","7","7","11","19","",
"Kenya","KEN","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","1.9","1.9","1.9","1.9","1.9","1.9","1.9","","",
