"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"St. Kitts and Nevis","KNA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.88216917573512","3.75907136279534","0.00145525442006449","0.0755950455937512","0.0192465439406047","0.0331561893085676","1.9752393735611E-05","0.0129592550727281","1.54808848715303","0.204311119233317","0.231017680763857","0.105116961231055","6.70861979298295","0.0430110549565357","0.406916142393111","0.00616463207967295","0.124388026159261","0.23204416924419","0.217367981486947","5.3255296124994","0.784161902336775","1.16082327114064","0.596316348012526","0.399103797903385","0.346277471080663","0.376560583085349","0.115211544313433","0.169272375275066","",
"St. Kitts and Nevis","KNA","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","0.294306521898774","0.36768862532637","0.3584152933645","","","1.5501176768002","0.511441106325151","","","","","","0.203404094815837","0.260968995260886","0.169987151241171","0.0186900847633376","0.0323837400684617","","0.0191706068648727","0.0182708806899073","0.00936620341627802","0.013442946703113","0.739969127675311","1.99629200529581","0.0579794211958115","0.029623986544463","0.0292858762636221","0.0135856637120948","0.0315068318703285","0.0361831639291439","0.0331894632869515","0.0280489136717378","0.0394134927677318","0.090115960605573","0.0545626944473019","0.0494276919726861","0.121580900262997","","","","",
"St. Kitts and Nevis","KNA","Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)","TM.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","","","","","","11.2267755962577","11.4863411486341","16.1016949152542","16.3887927814401","38.5432905705701","26.2622623321522","3.30665165695994","10.7693520646536","14.8629059591169","10.1900692232782","10.1311840019958","5.12458188048916","6.57786859128878","5.37500261166245","4.19295180534034","5.74315251645129","5.92279467768748","4.11315923433877","4.85982431599587","4.17282777841227","4.40999919263301","4.28484503479288","4.21352121420744","4.13754109741101","4.32235149690354","5.64708758711792","7.05313385717989","7.02210314593275","7.5164814973881","6.73459682273979","7.66685979058263","8.14369002083541","7.5448364404919","8.50288781997179","8.80939954193998","6.26794751703888","6.7237346094745","7.79789677772014","13.732976863514","6.02609780797143","",
"St. Kitts and Nevis","KNA","Tariff rate, applied, weighted mean, primary products (%)","TM.TAX.TCOM.WM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.55","","","15.51","12.4","13.68","13.8","13.42","","","11.56","11.46","10.82","13.78","10.06","11.04","11.75","11.74","10.15","10.17","10.2","38.02","38.02","37.99","8.93","",
"St. Kitts and Nevis","KNA","Tariff rate, applied, weighted mean, manufactured products (%)","TM.TAX.MANF.WM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.76","","","19.08","13.41","12.19","13.63","13.82","","","12.68","12.59","14.43","15.62","14.06","13.03","12.52","12.52","13.15","13.15","13.15","14.23","14.2","14.25","8.85","",
"St. Kitts and Nevis","KNA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63000000","68000000","72000000","71000000","69000000","58000000","62000000","57000000","75000000","103000000","121000000","132000000","125000000","110000000","83000000","90000000","94000000","95000000","101000000","343000000","317000000","332000000","355000000","367000000","","","",
"St. Kitts and Nevis","KNA","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Population ages 70-74, male (% of male population)","SP.POP.7074.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
