"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Lithuania","LTU","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.79763510138282","47.3011475026755","43.6459881159476","46.0487059948114","47.3451554256734","36.7161163927067","19.3726620147793","15.473146102366","18.6271949977932","19.7502740491701","17.1465717975577","18.1133399967721","19.1322519825941","22.4958451708767","25.4826809458562","26.5877472894083","24.3079807744061","27.9152775629813","28.7715738171486","30.7838698793242","32.5409153693171","33.5381494941209","25.2468627493763","23.8013536003357","26.2317557877375","24.688250372162","25.6058909194157","24.2590078293728","",
"Lithuania","LTU","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","98.73802521","99.07722445","103.1630961","104.2127647","100.5487065","97.63114284","98.80714579","95.59321982","96.65580806","94.5517114","93.88788638","93.70837758","94.37229186","96.39563337","98.50105395","99.29987929","98.65455398","98.10743031","98.75915386","100.6642287","",
"Lithuania","LTU","Merchandise imports from high-income economies (% of total merchandise imports)","TM.VAL.MRCH.HI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1507369834289","66.3129465804447","47.8908433528821","54.5049149961507","64.0146949467605","65.2420523348833","68.761273628136","69.183553930908","62.8550183687384","63.6499673555353","67.2770069815963","66.0588185900369","68.5442788742614","64.3456014203319","67.0741226733925","72.9467622688895","61.2954823689907","62.0041398229092","59.0960038844107","59.5326492389173","60.0617109792907","63.0463437058134","68.6119105955093","72.083371557147","76.0636119209378","75.8886477213959","74.6261854517454","74.3346548304222","78.5572081669904","",
"Lithuania","LTU","Share of tariff lines with international peaks, primary products (%)","TM.TAX.TCOM.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.13533","15.71462","20.88422","21.1868","20.77558","17.21824","17.74051","24.90896","31.28151","28.44493","22.96523","18.91264","18.55474","21.59943","21.35761","21.93359","18.66892","17.18664","20.97429","20.77506","17.29213","16.56008","18.11398","16.5732","17.05898","16.65655","19.09314","19.38812","18.67354","18.64967","17.85365","18.68754","5.649583","",
"Lithuania","LTU","Share of tariff lines with international peaks, manufactured products (%)","TM.TAX.MANF.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4063561","0.4008741","8.295054","1.106265","1.329905","1.041209","0.845769","1.452763","0.3301265","0.2679246","0.3513953","0.3784004","0.2983285","0.3778334","0.7196269","0.4205394","0.2702309","0.2756201","0.268422","0.2744931","0.2338828","0.2346173","0.2869706","0.2084837","0.191281","0.1956168","0.3069713","0.3213951","0.2739495","0.2930487","0.2840982","0.2878836","0.1836444","",
"Lithuania","LTU","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","39.46","40.443","41.435","42.434","43.441","44.45","45.465","46.484","47.507","48.53","49.555","50.719","51.968","53.21","54.451","55.685","56.915","58.132","59.342","60.361","61.158","61.946","62.73","63.506","64.277","65.038","65.793","66.54","67.28","67.642","67.583","67.523","67.464","67.404","67.345","67.285","67.225","67.166","67.106","67.046","66.986","66.919","66.828","66.737","66.646","66.635","66.706","66.777","66.848","66.842","66.757","66.741","66.864","66.986","67.108","67.23","67.366","67.516","67.679","67.855","68.046","68.249",
"Lithuania","LTU","Population, total","SP.POP.TOTL","2778550","2823550","2863350","2898950","2935200","2971450","3008050","3044400","3078850","3107321","3139689","3179041","3213622","3244438","3273894","3301652","3328664","3355036","3379514","3397842","3413202","3432947","3457179","3485192","3514205","3544543","3578914","3616367","3655049","3684255","3697838","3704134","3700114","3682613","3657144","3629102","3601613","3575137","3549331","3524238","3499536","3470818","3443067","3415213","3377075","3322528","3269909","3231294","3198231","3162916","3097282","3028115","2987773","2957689","2932367","2904910","2868231","2828403","2801543","2794137","2794885","2795321",
"Lithuania","LTU","Population ages 65 and above, male (% of male population)","SP.POP.65UP.MA.ZS","6.36240540618855","6.53836900127701","6.69124051923771","6.8301348799367","6.97370489597","7.13864964258991","7.32139314559579","7.50228225588315","7.69822228283711","7.92993376536215","8.20204733432612","8.51851503468923","8.84051857289483","9.1297314062077","9.33667596620949","9.44142846745933","9.44817505202283","9.38485719548763","9.2632611547691","9.09403064413506","8.88564041774185","8.70356029077324","8.46887979188835","8.21671294004288","7.99186631591003","7.81833087898257","7.76737910437916","7.7555183495949","7.7776801832517","7.82668379123181","7.90118882622279","8.10983262103172","8.32741107579744","8.54438557953224","8.74592500853919","8.92273408761337","9.21801775029305","9.48726071304822","9.7327222964344","9.95772433217684","10.1644005283758","10.5058658161449","10.8325366708361","11.1432862646029","11.4318709633134","11.6909858757844","11.9344223763074","12.131555440018","12.2793701808583","12.3779175463088","12.4300916440999","12.6944731377644","12.9332246091714","13.1524924037416","13.3608213042989","13.5629939776482","13.8036065945468","14.073176619486","14.3913220829226","14.7383775814214","15.0746793419297","15.5037900509356",
"Lithuania","LTU","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","6.01649141245212","6.38398613176061","6.73471772443495","7.0468235662942","7.30193455682384","7.49164547582073","7.62182459655838","7.67965016680191","7.68061767808484","7.6540477945626","7.62384292849963","7.58325617895694","7.53970178404754","7.49205573209484","7.43391146575102","7.36022186484201","7.25574804355874","7.14690390296674","7.03604406453302","6.92911167903363","6.83502239404491","6.74754201373846","6.66928166518558","6.60430792740611","6.56139570277153","6.54720111863699","6.54927964107792","6.5797983296973","6.64576346014715","6.7552507107498","6.91019536270864","7.07954431754835","7.28968242360001","7.51931312646521","7.73580346168056","7.91800920632059","8.06522749196331","8.19921654677926","8.32283076207616","8.41468966105107","8.44333535694347","8.36896679589571","8.19294554062854","7.9602712264892","7.73899790387839","7.57048429652163","7.46843211762709","7.42668577457662","7.41498189799109","7.38543189343738","7.31435080677129","7.19066740466277","7.03005956503671","6.85169863538321","6.68713881815376","6.55289055851369","6.44897064377089","6.34658336753786","6.25164167204878","6.19031913618498","6.20514338640002","6.43128032884053",
