"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Maldives","MDV","Investment in ICT with private participation (current US$)","IE.PPI.ICTI.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40000000","","","","","","","","","","","","","","","","",
"Maldives","MDV","Time required to start a business, female (days)","IC.REG.DURS.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","9","9","9","12","12","12","12","12","12","12","12","12","12","12","","",
"Maldives","MDV","Firms experiencing losses due to theft and vandalism (% of firms)","IC.FRM.THEV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Maldives","MDV","Time to export, border compliance (hours)","IC.EXP.TMBC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","42","42","42","","",
"Maldives","MDV","Human capital index (HCI), male, upper bound (scale 0-1)","HD.HCI.OVRL.UB.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Maldives","MDV","Interest payments (% of expense)","GC.XPN.INTP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.66784037558685","4.99883747965589","3.97338754389207","5.04721589058938","8.10810810810811","8.71199180047831","8.47812434582374","7.36886632825719","6.28707912782187","6.38628275638952","5.67194413348259","5.90950593486862","6.47103441736987","5.76373790339771","4.97112729098669","3.33598949023324","3.54506223474446","3.57159189646499","3.75174188015865","7.04970963730333","","","","","","","","","","","","",
"Maldives","MDV","Customs and other import duties (% of tax revenue)","GC.TAX.IMPT.ZS","","","","","","","","","","","","","","","","","","","","56.9444444444444","68.9024390243902","69.0987124463519","56.1904761904762","58.6407766990291","68.5314685314685","57.8713968957871","61.3984674329502","68","68.3424589347934","59.4970986460348","56.6248256624826","60.2949208083015","60.9902309058615","60.717230008244","63.4228187919463","64.2129992169146","63.1888935633151","63.9740770744127","63.8639636645619","64.3098332139568","64.371670941014","63.2237722147907","63.396537510305","64.4045085520612","68.9594463331714","72.3067100069654","71.0428619642255","71.8219682627104","72.7337531186884","67.6720351390922","","","","","","","","","","","","",
"Maldives","MDV","Net investment in nonfinancial assets (current LCU)","GC.NFN.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","353200000","583100000","624500000","702200000","663600000","836000000","733900000","750400000","813900000","945400000","859800000","924100000","1021600000","1178700000","970300000","1097100000","1408900000","1728800000","2836900000","2325400000","2518900000","3053500000","","","","","","","","","","",
"Maldives","MDV","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","FX.OWN.TOTL.40.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.41","","","","",
"Maldives","MDV","Broad money (current LCU)","FM.LBL.BMNY.CN","","","","","","","","","","","","","","","","","61815000","63167000","66806000","90423000","142912000","156813000","139421000","137130000","181520000","235109000","294737000","329807000","376839000","451857000","535871000","668539000","752510000","1022690000","1268070000","1463440000","1845890000","2276340000","2799860000","2898630000","3019560000","3254291217.14","3956718577.38","4636454529.29","6090812887.94","6737210185.29161","8008651939.9926","9938819714.64","12110272374.31","13855275390.68","15883970112.31","19062239077.37","20001611515.55","23676728450.85","27197055754.29","30491924283.62","30436282609.07","32005875289.08","33088326226.59","36241440260.43","41384961351.07","",
"Maldives","MDV","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.1080594404838","16.145248732643","16.4493904253109","16.4711065373918","18.2937769358779","19.576051655839","19.2575685484351","20.7373142455589","19.0891446646458","",
"Maldives","MDV","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","13000","12000","12000","12000","12000","19600","22400","25100","23700","32300","37273","35176","32268","35706","37258","28325","34634","29636","31769","31175","38624","40916","37838","44110","56081","62076","59964","58502","72589","72065","80225","81523","82392","90156","104242","104754","105848","108312","118285","124217","119373","127636","163770","156132","158528","186274","185811","144511","133839","117061","122804","120835","120000","130217","128695","127381","129331","142378","151013","","","",
"Maldives","MDV","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Maldives","MDV","Nitrous oxide emissions (% change from 1990)","EN.ATM.NOXE.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.95737207631514","19.0644208509619","31.5313589313749","78.9755461536415","101.497033075224","105.72949096618","106.795987334025","120.530055081025","130.136505148878","113.727149357388","132.925148346239","163.113807509114","187.012053963439","197.094808546872","208.229690535111","267.654399829701","294.215694100742","308.112610095527","333.090657513105","356.96602006333","361.535680263963","366.105340464596","","","","","","","","","",
