"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Nicaragua","NIC","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1647003249.72824","1900588123.69569","2289759909.97269","1685882150.49534","1854572868.08638","2406273551.4598","2955785736.43016","3113077806.72092","3247364102.48508","3733050101.25914","3672792704.65742","3689273865.3418","2915710609.38352","2151640767.23115","2352651701.55582","3342242188.16639",
"Nicaragua","NIC","Final consumption expenditure (constant LCU)","NE.CON.TOTL.KN","35144610104.9233","37940933929.8935","42156379596.5746","45516121713.3487","49649266004.5376","54463896448.8299","55899555483.7098","62026777484.9965","61603733033.9526","62745183880.9656","63713955675.5862","65053083656.9215","66524509176.6087","69923863637.7178","75323833768.9218","80086160535.2378","84270839333.6976","90674578571.6239","87827489413.0884","67753261015.6999","81797567635.0518","74579660120.3173","70317294977.5987","75299220273.3447","77901328236.1675","76691036519.0092","74778491012.698","75595351389.9755","75973168543.7339","68018770841.3784","66940263024.0941","72718151000","74629109800","72379357500","73346425200","76484958500","79373503200","82879780400","87151367700","91065607200","95811869900","99757658800","103368448200","105543783800","107811644700","111670355400","114707000000","119181000000","123826000000","125945000000","129594000000","133185000000","138612000000","144253000000","150752000000","158741000000","168455000000","172680000000","165478000000","163877000000","163553000000","175681000000",
"Nicaragua","NIC","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","8.7659411888836","8.55637297289446","8.29879876926696","7.35275415634402","7.13769969776472","7.98325707291924","8.64671374623941","9.32568132221124","9.01196868077099","8.73409931931842","9.59143566711591","9.73038375067761","9.39360016944407","8.13585872158129","7.71629532435219","9.04787613759541","9.33815749523287","8.90554307542527","11.7533290977513","17.8503028442233","19.7275804550111","21.9381669244575","23.4431778049136","31.4440118919771","35.3386650576044","35.730704667712","35.3510782850756","34.2330672335019","32.2084003856666","26.6969508807477","43.4792056528719","20.5506391347099","19.6720214190094","17.5887250569794","7.49096592667875","7.51657999473092","7.34507965495221","6.91524311357816","7.12629932963073","8.227810985919","8.67671427742945","8.96260821490308","8.74502652362897","9.18469723668059","9.08413312739566","9.42815325263766","15.1661519560406","14.0183571986652","13.8382279680684","14.49781090224","14.0976086991387","13.5987444224434","13.5684734308088","13.762015246934","14.2796924802936","14.0523486728769","14.4608571481167","14.4105783783392","14.8023786582577","15.0979574423209","14.9823486681688","14.2328731546184",
"Nicaragua","NIC","Logistics performance index: Overall (1=low to 5=high)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.21","","","2.54","","","","2.653283","","2.531062","","","","","",
"Nicaragua","NIC","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61007","63030","59471","68224","84468","94308","98155","116315","144718","156900","171881","169969","167798","166612","",
"Nicaragua","NIC","Statistical Capacity Score (Overall Average) (scale 0 - 100)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.8888888888889","83.3333333333333","76.6666666666667","76.6666666666667","70","72.2222222222222","75.5555555555556","71.1111111111111","68.8888888888889","65.5555555555556","65.5555555555556","70","70","68.8889","58.8889","51.1111333333333","46.6666666666667","",
"Nicaragua","NIC","CPIA fiscal policy rating (1=low to 6=high)","IQ.CPA.FISP.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","",
"Nicaragua","NIC","Public private partnerships investment in ICT (current US$)","IE.PPN.ICTI.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nicaragua","NIC","Start-up procedures to register a business, male (number)","IC.REG.PROC.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","8","8","8","8","8","8","8","8","8","8","7","7","7","7","7","7","","",
"Nicaragua","NIC","Cost to import, documentary compliance (US$)","IC.IMP.CSDC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.11111","86.11111","86.11111","86.11111","86.11111","86.11111","","",
