"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Nepal","NPL","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","40","250","156","268","429","3946","1341","1880","1104","457","","","","","","","","","","","","","","","",
"Nepal","NPL","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","5.41738541804406","4.55601230535708","3.41085202689278","4.70610457977379","1.50380141214794","2.45056755472548","0.761635829011818","14.131903023077","2.8342853519196","2.35692851992646","0.595541491187576","0.297815661695733","0.720667562380151","0.823922059153719","0.163541453599229","0.0555401277422938","0.0251952632905014","0.0225428313796213","1.4608338639837","0.0348456392778264","0.0594478566357084","0.168587537425111","0.249423667643462","0.440322423841388","0.286640920668877","0.376541105637401","1.19749866997087","2.32587606704704","3.04728524988831","1.74281623354896","1.91766384518681","3.69604694154524","3.4222836687476","4.24801540777741","2.92840939894363","3.5837061449655","4.03656257568828","4.80289634267507","5.33021402341304","3.40407963996949","",
"Nepal","NPL","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","32.1262744753838","33.6126471840557","32.6379029795305","31.5834668993976","30.3763602653664","26.1639591636405","29.3255113356997","25.796381472234","29.5804167841866","25.7256115205126","26.6618879570729","27.5657710658696","30.2348676499725","33.8590174067319","28.4842837993611","21.298382601967","23.5982063043878","37.7277045178004","38.8289718870657","44.7380872236023","53.1365737766855","47.8649922451387","41.17965823243","35.3514823599764","37.9400814661186","38.8336891717645","29.9431015446195","31.5005163514156","40.9288078147175","38.5050888501434","37.9435882486933","38.2075045095932","45.3157253433963","52.393714568628","47.5312217720199","42.0409580013029","46.8550799401001","43.4748080928382","42.928076705329","44.5594513318591","47.3858771200336","49.0610177326229","47.7135084063677","41.594849190652","24.5000320190169","26.4267907851653",
"Nepal","NPL","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","38000000","21000000","24000000","79000000","98000000","108000000","75000000","61000000","56000000","85000000","75000000","85000000","85000000","104000000","134000000","172000000","163000000","168000000","221000000","254000000","342000000","369000000","395000000","464000000","417000000","453000000","460000000","571000000","678000000","582000000","672000000","737000000","776000000","890000000","1155000000","1333000000","1398000000","1693000000","1246000000","1422000000","1573000000","1473000000","1419000000","1754000000","1938000000","2283000000","2492000000","3122000000","3590000000","4384000000","5133000000","5774000000","6066000000","6571000000","7590000000","6652000000","8935000000","10345000000","12712000000","12340000000","9856000000","18623000000",
"Nepal","NPL","Bound rate, simple mean, primary products (%)","TM.TAX.TCOM.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.41","32.41","32.41","32.32","32.32","32.32","32.32","32.32","32.32","32.62","32.62","32.62","32.62","","32.88","32.88","32.88","",
"Nepal","NPL","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.07","24.07","24.07","24.14","24.14","24.14","24.14","24.14","24.14","24.12","24.12","24.12","24.12","","24.12","24.12","24.12","",
"Nepal","NPL","Urban population","SP.URB.TOTL","351656","366644","376845","387387","398467","410058","422322","435171","448724","462853","477672","493576","528240","565368","605351","648204","694342","743793","796725","853610","914649","979815","1040659","1105147","1173362","1245155","1320559","1400026","1484550","1575389","1673891","1781425","1910490","2048792","2195197","2348124","2507255","2672682","2844419","3022677","3207389","3395692","3520929","3646258","3772484","3900034","4030431","4163436","4294653","4418039","4529575","4626212","4711768","4795227","4892046","5013180","5164239","5343055","5546094","5765514","5995190","6234107",
"Nepal","NPL","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141.55354","","","","","","","","","","","","","","","","","","","",
"Nepal","NPL","Population ages 65 and above, male","SP.POP.65UP.MA.IN","116607","121170","124897","127999","130842","133593","138840","143959","148822","153259","157183","163603","169689","175302","180332","184715","191558","197780","203399","208457","212994","220256","227039","233269","238877","243849","251862","259064","265799","272571","279716","290070","301036","311947","321811","329995","342732","353630","363278","372690","382587","402465","425073","450847","479795","511758","541725","573834","606703","637428","663728","677717","682850","683671","686610","695978","702255","715553","733606","752921","771244","797536",
"Nepal","NPL","Population ages 35-39, female (% of female population)","SP.POP.3539.FE.5Y","6.30884150439252","6.2999254415649","6.27172482903172","6.22787891557539","6.17554300020049","6.11700605311499","6.02894824309331","5.93924777136859","5.85655246997026","5.79174530215043","5.75053175702618","5.7016645951805","5.6755284990418","5.66236424384589","5.64991123571747","5.63077963094081","5.59217150819211","5.55898047992894","5.52052126886243","5.46217030306191","5.37920080086761","5.26214583190919","5.12025532507217","4.99261805110323","4.9340713685628","4.9697165687373","5.07655391345144","5.26553591060146","5.48506582067951","5.66378575707851","5.76365236478767","5.78001245472678","5.73209324768564","5.64345625902087","5.54934541111268","5.47006971008957","5.38168566869026","5.32771527152782","5.31232928918581","5.33363400972782","5.3866163118119","5.44315701162838","5.50079256177261","5.54848634549404","5.58734006668742","5.62845211122331","5.74693885270483","5.83951627398635","5.89535315317115","5.92583416288759","5.95171674140459","6.03299652910463","6.14386450884713","6.27506268748233","6.41224902815642","6.54596988315716","6.71379208615864","6.85678422021785","6.9593886422697","7.02813730218982","7.09201638446216","7.19290795267551",
