"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Sierra Leone","SLE","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","552","218","410","628","1472","570","748","3287","3153","382","50","","","","","","","","","","","","","","","","","","","","",
"Sierra Leone","SLE","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","0.305502069530148","3.35611816821662","","","","","","0.387275556211741","","","","","","","","","","","","","","","","","","0.000104668003233456","0.337474953152758","1.28606731199644","0.53727141248408","2.2136529177698","1.92335026081855","0.835840365354279","3.26628483688422","2.87420960657263","2.9006416305263","3.33098045030874","6.0090188840269","55.4125657273564","77.7095410428353","80.5643794038039","2.734956719812","6.87256446015204","11.2583566458799","18.095026900871","14.2632810598933","2.2280540236925","",
"Sierra Leone","SLE","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","8.25515947467167","9.20810313075505","8.45637583892617","10.126582278481","10.0449775112444","6.4885496183206","12.4174372523117","11.0723626852659","6.77290836653387","17.2810610493466","44.7307514272488","20.5638317933245","8.10757677033775","32.7393310832751","36.5176371417456","38.5939624694045","46.0551131601005","66.2027560744474","62.5063915541251","49.1162725897029","47.1854171685536","40.0169988128122","55.9522923567513","39.2395202711878","45.1766948525894","51.4572010958985","41.9021271391531","37.5462600087852","37.4380896253971","16.4590416071924","16.4557287369895","21.6538215272834","10.6967649263586","5.41515402787484","3.34792493532722","2.87627667462181","2.98590530636602","3.22785984068133","3.27854201059651","6.73190237093788","14.0104331952015","14.5914471272788","19.0513142762285","6.39220430507522","",
"Sierra Leone","SLE","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","74000000","91000000","85000000","84000000","99000000","108000000","100000000","90000000","90000000","112000000","116000000","113000000","119000000","155000000","222000000","185000000","153000000","181000000","279000000","316000000","427000000","328000000","298000000","160000000","157000000","151000000","132000000","137000000","156000000","183000000","149000000","163000000","146000000","147000000","150000000","133000000","211000000","93000000","95000000","81000000","149000000","182000000","264000000","303000000","286000000","345000000","389000000","445000000","534000000","520000000","770000000","1717000000","1604000000","1780000000","1568000000","1530000000","1068000000","1301000000","1354000000","1502000000","2146000000","1791000000",
"Sierra Leone","SLE","Bound rate, simple mean, primary products (%)","TM.TAX.TCOM.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.7","","44.7","","","","44.79","44.79","44.79","","","","","","","","44.84","",
"Sierra Leone","SLE","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.15","","48.15","","","","48.19","48.19","48.19","","","","","","","","48.2","",
"Sierra Leone","SLE","Urban population","SP.URB.TOTL","402157","421145","441132","462560","486230","511151","537465","565193","594479","625341","657923","692321","728619","766822","807083","842174","873070","905305","938936","973972","1010415","1047825","1086122","1126318","1169906","1217583","1266068","1314621","1362836","1404772","1436408","1456150","1466054","1469900","1473600","1481808","1495070","1513235","1539829","1578966","1633299","1705142","1793090","1890694","1988625","2084310","2174481","2257436","2335490","2412870","2492860","2575940","2661003","2748061","2837175","2928219","3021537","3117881","3217270","3319363","3423961","3531063",
"Sierra Leone","SLE","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sierra Leone","SLE","Population ages 65 and above, male","SP.POP.65UP.MA.IN","38042","39232","40388","41500","42548","43518","44740","45890","46968","47956","48859","50131","51297","52372","53340","54202","55512","56714","57809","58775","59623","60959","62103","63127","64104","65062","66733","68369","69733","70573","70778","71394","71063","69987","68420","66500","66535","66510","66503","66582","66715","68599","70924","73432","75844","78015","80418","82264","83657","84747","85645","87649","89415","90882","91974","92653","94589","96123","97350","98387","99304","101730",
"Sierra Leone","SLE","Population ages 35-39, female (% of female population)","SP.POP.3539.FE.5Y","5.94378786508344","5.90941348152887","5.8814988121333","5.85862419847205","5.83979020145429","5.82357005950203","5.77896380010161","5.74385038008553","5.71553885920768","5.69185554621977","5.67081792376115","5.62678417459497","5.58844711704145","5.55617352988962","5.53158324058877","5.51477723521694","5.4812630970812","5.4591715558025","5.44242747182655","5.42253596398198","5.39484285227178","5.34190997594569","5.286539686602","5.23094172844344","5.1771138893821","5.12576858290592","5.05857522924738","4.99796725323138","4.94580148502744","4.9069001658966","4.88633224607921","4.85261273905151","4.82986329031026","4.81936740090763","4.81985306104455","4.82711664795834","4.83486260022681","4.85586181456827","4.8826538761028","4.90532797886657","4.91581652303589","4.9315675851246","4.94662573400112","4.96109963557043","4.97922292078384","5.00549884601682","5.02388599387528","5.04840655797797","5.07888732305287","5.11320934886423","5.14946955210794","5.1766264859942","5.20802766917686","5.24498012482354","5.28993970930634","5.34396313568979","5.40565540585945","5.47404156396774","5.54536985649727","5.61461121057551","5.67878939251894","5.73321366909633",
"Sierra Leone","SLE","Population ages 10-14, female (% of female population)","SP.POP.1014.FE.5Y","10.662621525415","10.5662615278","10.5012994342867","10.4708219598469","10.4651329121469","10.4573339461761","10.4209499639146","10.4320880870778","10.4865647915682","10.5657168216787","10.6386661240685","10.6844565550636","10.7639669905838","10.8726853771318","10.9910403793886","11.0868080085085","11.1372384067868","11.2047149025573","11.2892272380517","11.3793803732202","11.4523508988791","11.491503689995","11.5461542955221","11.6162110969596","11.6869012166247","11.7312681313546","11.735642736173","11.7511820227003","11.7805369749037","11.8290215999785","11.8969718478625","11.9254651045468","11.9860652531813","12.0768876091754","12.1758932495239","12.2472995602009","12.2650006637005","12.2965982501473","12.3346112133405","12.3658050099463","12.3693842701142","12.3774101014369","12.3949927589486","12.4141291592152","12.4292089353324","12.4340807351697","12.400116914667","12.3709152920098","12.352154177728","12.346292346635","12.348562579758","12.3336077842949","12.340489669899","12.3601655955123","12.3829207321212","12.401460787202","12.4167600510274","12.4318751195232","12.4426500227418","12.4365206698482","12.3970592725363","12.3148529922886",
