"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Somalia","SOM","Households and NPISHs Final consumption expenditure (annual % growth)","NE.CON.PRVT.KD.ZG","","-1.60528050821779","17.9259935778109","-3.20915260988706","-2.84274394074517","-18.3729173749589","13.24069828926","6.33659208489932","-1.54496721995791","-1.53757745352789","4.21771484620453","9.04374254954389","-21.5082022256658","8.22636793371663","-22.1232180496362","46.1041561358076","-1.80422129598995","59.5403919492032","-13.0313771658178","-6.2008518024646","3.58922252211474","7.72671475258404","16.5467242712305","-6.57620072245231","2.30247046568242","-2.2281710225767","1.85696100212486","-2.4877536877537","-1.54229890173438","8.61143764565159","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Armed forces personnel (% of total labor force)","MS.MIL.TOTL.TF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.48376011865539","","","","","16.2805287047428","15.9449622423294","15.5035768474407","15.0075538020804","3.2234668385849","3.11674063731113","","","","","","","","","0.0955960341029292","0.0928727587481495","0.144534582834802","0.877448520095326","0.468318867247354","0.702152344755149","0.79339319845649","0.769714906151149","0.754385620806559","0.724567939771571","0.709754691034911","","",
"Somalia","SOM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40000","60000","70000","82000","92000","98000","","98000","119000","",
"Somalia","SOM","Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100)","IQ.SPI.PIL2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.06666666666667","36.0333333333333","36.0333333333333","","",
"Somalia","SOM","CPIA quality of public administration rating (1=low to 6=high)","IQ.CPA.PADM.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","2","",
"Somalia","SOM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0","1.71","1.83","1.14","0","1.03","0","0.58","2.75","3.24","2.89","1.43","6.31","3.82","4.45","3.34","12.23","9.74","","","",
"Somalia","SOM","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Time required to enforce a contract (days)","IC.LGL.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","575","575","575","575","575","","",
"Somalia","SOM","Firms with female top manager (% of firms)","IC.FRM.FEMM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Average time to clear exports through customs (days)","IC.CUS.DURS.EX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
