"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Serbia","SRB","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3022","190","","","","","","1235","1398","","0","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.306204871536272","0.155806324459806","0.262140465934604","0.302568229572309","0.193664141715135","0.314276154896725","0.467493040683749","0.454510136745061","0.319164543466094","0.347353543149436","0.35185689931798","0.646790604983858","0.821380453429364","1.98941089716681","2.0956188783314","",
"Serbia","SRB","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.3235253687899","29.3347544569996","28.0054051066422","27.3667583436345","28.0595804650926","27.362472825966","27.4405932799302","26.9556282392636","28.3805040537022","30.0196315385251","28.7633307913737","27.8117121787875","27.4878133782519","19.356427434836","21.7562695026537",
"Serbia","SRB","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13172000000","19164000000","24331000000","16047000000","16735000000","19862000000","18925000000","20543000000","20601000000","17876000000","19245000000","21947000000","25882000000","26730000000","26233000000","33797000000",
"Serbia","SRB","Bound rate, simple mean, primary products (%)","TM.TAX.TCOM.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","Urban population","SP.URB.TOTL","1920549","1999961","2079912","2160366","2241921","2323684","2413642","2502738","2592295","2681395","2770952","2857727","2915781","2973469","3031538","3089259","3154610","3217471","3278834","3338919","3397269","3458357","3505133","3548868","3589627","3627509","3673875","3715588","3753668","3789135","3822813","3855241","3898223","3942353","3977770","3938573","3951731","3957625","3959596","3962104","3966301","3976219","3989274","3997403","4004805","4009310","4010029","4010264","4009546","4009752","4009779","3994308","3985121","3973872","3963388","3951845","3939250","3927608","3916682","3907389","3894281","3877239",
"Serbia","SRB","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","299.17832","300.02984","392.06605","334.8388","299.97302","312.4554","324.7486","350.75375","420.25773","430.94926","410.84382","412.03292","","","",
"Serbia","SRB","Population ages 65 and above, male","SP.POP.65UP.MA.IN","181049","187088","193668","200616","207707","214741","223764","232374","240718","248840","256819","267095","276960","285656","292403","296728","300829","302810","302638","300078","295171","290959","284503","277450","271950","269253","272402","277134","283162","290159","297919","310528","325635","341215","355729","362709","379084","393328","405597","416295","425542","434428","442243","447765","450651","450355","452296","451776","450498","451158","455035","462784","474459","488019","502678","517655","529784","541445","551774","559812","564214","569879",
"Serbia","SRB","Population ages 35-39, female (% of female population)","SP.POP.3539.FE.5Y","7.55418385667628","7.9630051282582","8.2068340460271","8.32357619645056","8.38226440207346","8.42252294788681","8.39592538046146","8.33767567833899","8.2462693576661","8.11683514822205","7.95018699846758","7.76324746394544","7.56733275204626","7.35035031614359","7.09281533275688","6.79000285721804","6.44742464848026","6.05600969728858","5.69356611831073","5.47529650024419","5.46466455336761","5.64171016464921","6.01127448293992","6.49315926259353","6.96292446441525","7.34034155575016","7.64455019092787","7.87459902620801","8.01703591482883","8.06159429756127","8.00529086806546","7.84346176366101","7.57438178536631","7.25025417205781","6.95126102726308","6.72811030494703","6.5879707745901","6.50867680726328","6.47193465537028","6.44348156775324","6.40289063724039","6.37006186026174","6.34971192322485","6.34545285789021","6.36439977807209","6.40993294334151","6.47649886049693","6.55669972578956","6.64133317756807","6.7180170682251","6.77856712708044","6.83958889032334","6.88712082449472","6.91475334913503","6.91459731421569","6.88321488033356","6.84379736146916","6.77289624437941","6.69170219305865","6.63337045989259","6.61737538862364","6.62983537453409",
