"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Turkmenistan","TKM","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.584961757997202","0.131401921828783","0.602644081419201","0.391072321368612","0.105637485000718","0.353989790987659","1.34793597304128","0.716054790827759","0.34808074468739","0.179531647602988","0.13306599345686","0.0107765357195098","0.392395794887309","0.387720078976996","0.318556395544914","0.793582492532873","0.278844144785017","1.39178063021843","36.2267408990649","61.9049385564513","78.6424250910157","75.5195799351397","78.0491640324916","76.5135416829979","65.039492118602","80.8170791599949","79.0632358693562","77.8524125484035","68.9718352796577","",
"Turkmenistan","TKM","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","543000000","501000000","1470000000","1365000000","1315000000","1230000000","980000000","1478000000","1786000000","2250000000","2120000000","2512000000","3320000000","2947000000","2560000000","3619000000","5600000000","6800000000","5700000000","7600000000","9900000000","10000000000","10000000000","7000000000","4994000000","4571000000","2351000000","2913000000","3127000000","4177000000",
"Turkmenistan","TKM","Bound rate, simple mean, primary products (%)","TM.TAX.TCOM.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","Urban population","SP.URB.TOTL","744102","772085","801130","831015","861412","892151","923052","954179","985656","1017793","1048850","1078317","1108348","1138840","1169762","1200992","1232637","1264699","1296999","1327123","1354344","1381272","1408001","1434986","1462665","1491472","1521174","1551587","1583327","1619378","1660553","1704756","1751186","1797596","1840851","1884860","1930073","1970302","2006587","2040532","2073490","2105733","2137297","2168975","2201754","2237159","2275569","2317262","2362652","2412431","2466839","2526243","2590493","2658556","2728844","2800283","2872408","2945219","3018656","3092741","3167338","3242382",
"Turkmenistan","TKM","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","Population ages 65 and above, male","SP.POP.65UP.MA.IN","38595","38854","38949","38954","38977","39084","39864","40700","41501","42142","42570","43663","44391","44768","44920","44951","45746","46440","46886","46892","46402","46403","46111","45642","45118","44638","44920","45120","45535","46546","48334","51092","54564","58321","61765","64595","67473","69665","71492","73388","75539","79046","82515","85556","87681","88659","88988","88620","87904","87207","86783","87727","88744","90000","91769","94166","97661","101853","106675","111915","117461","124752",
"Turkmenistan","TKM","Population ages 35-39, female (% of female population)","SP.POP.3539.FE.5Y","5.44029214850883","5.64345085226136","5.86054197636663","6.04800623526226","6.15250348720364","6.15098395301226","6.0376039826819","5.82134262265127","5.5708978298943","5.38326249046993","5.30629714836017","5.29841793766751","5.40087716636832","5.52796522717008","5.55097939932301","5.40423511006816","5.11122425238629","4.64179928932838","4.0858116454158","3.60895293508061","3.33374876647005","3.29451156212658","3.4267193132156","3.67772402526213","3.97316607513623","4.26992076828121","4.58809926910848","4.91863515548734","5.24622505501176","5.55357657609273","5.82790011235625","6.05628245067498","6.25196518958433","6.41811670508072","6.56334142795199","6.69512848780191","6.81092630031244","6.92037625381754","7.00971326152077","7.05603596349145","7.0476292637322","7.00416534544757","6.89542073341037","6.75668819110181","6.63651558763636","6.56123694201917","6.50574853729389","6.50229986636813","6.53557010854939","6.58017181077236","6.62236231171391","6.68767018116007","6.7501616453818","6.80817459469952","6.86327462214499","6.91554937627711","6.93348326052679","6.95600432904728","6.99238138143902","7.05757116250266","7.16024843584507","7.32375993401682",
"Turkmenistan","TKM","Population ages 10-14, female (% of female population)","SP.POP.1014.FE.5Y","8.27595861229458","8.77496110034816","9.34693566321032","9.95704450330368","10.5476055245404","11.0630574451808","11.4775453478639","11.8349383584811","12.142111946675","12.411431129819","12.6478875751253","12.8276893846149","12.9298604017705","12.9726818864736","12.9537471542997","12.8634794700836","12.7323970473149","12.5614261683384","12.389339317393","12.2367533459681","12.1040871129236","11.9234056467467","11.7791570279574","11.6899469839938","11.6388435915129","11.5940662916861","11.5110990508439","11.438131905789","11.3949521264189","11.3806724706176","11.3728546227525","11.3228452751817","11.2698796433361","11.2214195771754","11.2153222803661","11.2911508546738","11.4438981804815","11.6650262704627","11.9154369628786","12.1247574012197","12.2360131444","12.3144954452994","12.2876089981269","12.175949572612","11.9799273662264","11.6706350454763","11.1838713636922","10.6199153112548","10.0121806564796","9.44955318195751","9.0260870036217","8.76570175034783","8.62756530286552","8.58551886790722","8.57535499292518","8.53963931215098","8.45462730892285","8.37632327294041","8.31340882927419","8.31917188866485","8.45455255060866","8.74138751406038",
"Turkmenistan","TKM","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","42.3629168","43.0305594","43.698202","44.3752078","45.0522136","45.7292194","46.4062252","47.083231","47.5531902","48.0231494","48.4931086","48.9630678","49.433027","49.705008","49.976989","50.24897","50.520951","50.792932","51.27215","51.751368","52.230586","52.709804","53.189022","53.5076634","53.8263048","54.1449462","54.4635876","54.782229","54.4487582","54.1152874","53.7818166","53.4483458","53.114875","53.0132934","52.9117118","52.8101302","52.7085486","52.606967","52.9554456","53.3039242","53.6524028","54.0008814","54.34936","54.9260028","55.5026456","56.0792884","56.6559312","57.232574","57.7363362","58.2400984","58.7438606","59.2476228","59.751385","59.9572334","60.1630818","60.3689302","60.5747786","60.780627","60.9748676","61.1691082","61.3633488","",
"Turkmenistan","TKM","Vitamin A supplementation coverage rate (% of children ages 6-59 months)","SN.ITK.VITA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","5.30000019073486","","","","","","","","","","","",
"Turkmenistan","TKM","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turkmenistan","TKM","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7299995422363","40.2210006713867","41.5060005187988","41.556999206543","42.9059982299805","43.4560012817383","43.1580009460449","43.9280014038086","43.5929985046387","42.742000579834","42.4739990234375","42.2680015563965","42.3139991760254","42.1769981384277","41.9360008239746","41.2070007324219","40.5699996948242","39.9080009460449","38.9749984741211","38.5830001831055","37.9269981384277","36.8320007324219","35.9410018920898","35.0820007324219","34.1959991455078","33.6129989624023","33.0559997558594","32.4720001220703","31.9200000762939","31.3719997406006","30.7140007019043","30.6280002593994",
"Turkmenistan","TKM","Average working hours of children, study and work, female, ages 7-14 (hours per week)","SL.TLF.0714.SW.FE.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
