"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Trinidad and Tobago","TTO","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Trinidad and Tobago","TTO","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","0.00215838207679523","","","","","","0.0158353127474268","0.0788877286262135","0.0138955793530218","0.0124627364181099","0.0209286912979277","0.0331184086604639","0.000806247883599306","0.0185161305254944","0.01876614761539","0.000962357390664171","0.32058793202036","0.233366138796934","","1.00805998967244","0.53011485387664","0.298420074469259","0.415881862032141","0.321650896812235","0.813924629531673","0.143951569753609","0.00421862420905574","0.00488917164029823","0.0333243835503173","0.0168608406389728","0.182363112936366","0.0977237053495051","0.0601600940742951","0.177371585518196","5.03626461466393","4.69908635223509","4.92294868683659","4.83267111013709","5.03702206208477","4.94853320218562","5.51576691020124","5.27620582918767","5.62994454763702","5.97348745972247","2.50761007225697","3.03488461182258","5.96841763697869","5.47444295935374","4.87417775319696","11.9887381851884","3.17110697761621","2.79508892923827","",
"Trinidad and Tobago","TTO","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","17.5685513224945","16.3243243243243","18.558396889487","19.480837516836","22.3362345396244","22.4619714534612","25.3680419536236","26.4799646868409","29.6586933913209","33.024460718378","30.7383397395446","27.4628381497553","32.7273776546628","37.8729378729379","28.0627573161234","26.5617012575402","22.0413793103448","21.1083275742917","23.3937600197311","21.1165531796281","31.0438319023951","38.1343846992702","30.8982945522337","28.534721752654","32.7143421572501","40.4120879120879","44.52963727514","54.7458125183661","31.6691285081241","30.3769401330377","37.9186854855698","29.8680399098809","28.6631997552768","27.7450257921886","31.4217443249701","19.0296495956873","6.17468912723483","7.65233168817472","3.38173866333754","4.54939219841695","7.22047472346217","6.96882877831245","3.16109228141203","3.92711546535954","4.56556199113538","2.46385648053112","",
"Trinidad and Tobago","TTO","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","294000000","341000000","353000000","377000000","426000000","471000000","454000000","417000000","420000000","483000000","544000000","666000000","766000000","797000000","1846000000","1469000000","2010000000","1819000000","1967000000","2105000000","3178000000","3125000000","3697000000","2582000000","1919000000","1534000000","1350000000","1219000000","1127000000","1221000000","1109000000","1667000000","1104000000","1463000000","1134000000","1714000000","2146000000","2988000000","2999000000","2741000000","3308000000","3569000000","3643000000","3892000000","4858000000","5694000000","6484000000","7663000000","9591000000","6955000000","6480000000","9511000000","9065000000","12629000000","11249000000","9233000000","8052000000","6893000000","7719000000","6340000000","4877000000","5763000000",
"Trinidad and Tobago","TTO","Bound rate, simple mean, primary products (%)","TM.TAX.TCOM.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.49","","","69.12","","69.12","69.12","69.12","69.25","69.25","69.25","69.15","69.15","","69.25","69.25","69.15","69.15","","","","","","","","",
"Trinidad and Tobago","TTO","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.82","","","51.91","","51.91","51.91","51.91","51.9","51.9","51.9","51.81","51.81","","51.9","51.9","51.81","51.81","","","","","","","","",
"Trinidad and Tobago","TTO","Urban population","SP.URB.TOTL","289625","302719","315401","327648","339502","351002","362098","372813","383514","394695","406834","420139","434577","449945","465894","482125","498518","515136","532153","549807","567147","578188","589724","601323","612437","622656","631796","639947","647315","654228","660920","667504","673882","679929","685453","690312","694468","698026","701366","704905","708405","708525","709235","710363","711563","712646","713525","714283","715087","716111","717530","719346","721775","724640","727665","730647","733552","736389","739173","741942","744725","747507",
"Trinidad and Tobago","TTO","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","278.16733","268.37564","","","",
"Trinidad and Tobago","TTO","Population ages 65 and above, male","SP.POP.65UP.MA.IN","14180","14353","14409","14392","14329","14253","15042","15908","16824","17735","18612","19483","20248","20992","21807","22726","23643","24643","25661","26589","27349","27992","28434","28726","28956","29180","29571","29972","30349","30632","30799","31365","31803","32149","32433","32666","33186","33632","34046","34483","34984","35852","36776","37751","38777","39875","41305","42797","44350","45958","47655","49678","51778","53960","56236","58598","61269","63986","66753","69563","72414","75351",
"Trinidad and Tobago","TTO","Population ages 35-39, female (% of female population)","SP.POP.3539.FE.5Y","5.69183826610202","5.63089595295296","5.57146208740772","5.50480321724717","5.42696572011661","5.34335106790422","5.22300036859565","5.11101882553939","5.00963679331963","4.91743142609964","4.83430840169315","4.82499226364662","4.80983078988634","4.8025007678505","4.82342070360885","4.88204713402807","4.97390361282451","5.10577713226441","5.2511583437523","5.37652207390765","5.46798824072784","5.54762596470841","5.60154260815835","5.64846464095736","5.71637666061113","5.81580369983782","5.92929447517436","6.0888262895147","6.27489776201379","6.45397692355723","6.60385829098312","6.74123038241616","6.83693440683049","6.92235554379975","7.04277703775195","7.21773828309362","7.44528786270066","7.72725044009977","7.99655125040859","8.1522724085056","8.14027302896219","8.0127447743139","7.72823951096316","7.36006069003956","7.03055491418456","6.81787913717962","6.71111605218792","6.72476998874002","6.81662919111626","6.91870888373803","6.99328446596438","7.04416797973405","7.07115176215605","7.10800119911967","7.2120049972399","7.41147679446735","7.69847058620828","8.07338505869462","8.46632031504439","8.77112468076608","8.92351074880318","8.94325299238609",
