"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Turkiye","TUR","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","20000","200","252000","","","480","1500","200","","640","540","41000","84000",
"Turkiye","TUR","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","0.282131661442006","0.230547550432277","","0.0271812992661049","","","0.0611496127191194","0.0574162679425837","0.0806614236741278","0.0912561691032685","0.0713690971809207","0.0931084935636907","0.0661316355810617","0.185337100841613","0.836183712368469","0.0299815827420299","0.062239817157783","0.0473552384593002","0.140278196573017","0.168233898245055","0.177775947394793","0.311779250068681","0.256836800746149","0.17742219679035","0.12421106347662","0.109325049761747","0.253623965922381","0.266957099320153","0.371053567508606","0.278836623373746","0.206718191806061","0.417699991597612","","0.506321525051016","0.612677370850864","2.50871094624191","0.44469067659598","0.607037258111922","0.717325255245478","0.752083510000895","0.699468770919645","0.891763316378808","0.604973396064059","0.375031715874454","0.599426217891604","0.579094730601873","0.590646330867634","0.678967898140587","0.780785724132185","0.801592647562731","1.19189673788011","1.40530976598694","1.46046620207002","1.45604391104836","1.34970034533497","1.11730117629916","1.01564988106964","1.13828707073163","1.38447425508977","1.3993813247582","1.47254022388852","",
"Turkiye","TUR","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2981530280676","19.6543139058965","20.7223154557548","20.6733383152009","21.437972173797","23.2898411305179","24.2436281023011","24.4956533365828","26.3852807576539","29.7967031074261","31.9440298635785","34.2393726809757","35.3739802633473","37.9288533512134","41.0778120793278","40.7338406876848","42.7015514045909","43.4274657165048","42.2071729155633","42.2764766860212","42.5008974075838","41.1941534066952","40.2954358234637","40.6020891515113","40.5232354530143","41.7929309384985","43.3667855860996","44.7314348094898","44.4607527035354","44.398705083438","","",
"Turkiye","TUR","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","2.07397904639726","2.51572327044025","5.50621669626998","6.45769844725004","5.59246954595792","4.34329395413482","4.37663951401353","5.67622357370403","6.87954309449637","6.97053419170621","7.02131490693016","7.18232044198895","6.62067232004657","7.96192021378126","12.9380053908356","16.9217066076803","22.3809226762524","22.6243563314559","25.9631290526632","21.3181025923448","37.1460058689273","35.6131745390177","37.6275504406598","36.9089084425791","35.4791492328496","33.9102923998393","19.3214310653004","23.8970769865265","22.0520494567152","22.5726881303667","18.2772607701443","8.88268354696335","8.22098552386756","5.20524612502129","11.9758369197306","13.2312204992864","12.6938068293485","12.160498914523","11.0794805064518","12.0378945988339","13.4671771639818","15.9013038691902","14.8280225141536","16.7169512806643","17.2305653231252","19.8067667888129","22.019449148312","22.1664517123469","22.5849049751441","22.8600429524296","25.0033505562023","25.2688735303643","24.1251880314528","23.8877611004398","25.3289290158556","25.8642068214906","27.2018268283636","26.7630506256415","26.2019882674604","24.3161964296751","26.5979864866958","",
"Turkiye","TUR","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.37","","9.57","14.1","14.56","14.01","16.09","14.32","12.3","11.5","11.59","12.85","12.69","12.58","13.66","13.07","13.7","14.3","13.83","","14","","15.73","14.46","14.43","13.18","20.69","19.82","",
"Turkiye","TUR","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.47","","8.57","3.32","5.76","3.2","6.18","2.34","2.1","2.03","1.73","2.28","1.4","1.27","1.4","1.39","1.22","1.2","1.18","","1.1","","1.2","1.07","1.38","1.41","1.33","1.38","",
"Turkiye","TUR","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6","","","","","14","","","","","6.5","9.5","","","","8.6","","","","","5.9","5.9","","","","11.6","","","",
"Turkiye","TUR","Population, female","SP.POP.TOTL.FE.IN","13779710","14125805","14477157","14834447","15198604","15570400","15949971","16337383","16733204","17138091","17552480","17976936","18411340","18854619","19305249","19762233","20223857","20690535","21165891","21654975","22160656","22684621","23223534","23769079","24309912","24837749","25349794","25847986","26334827","26814801","27291494","27764716","28233978","28702307","29173456","29650015","30133315","30622457","31114976","31607152","32096148","32583788","33071044","33553500","34025331","34483857","34924109","35351055","35783887","36248632","36762746","37330533","37942454","38584479","39235978","39879351","40514350","41138240","41728157","42255898","42702942","43058238",
"Turkiye","TUR","Population ages 65 and above, total","SP.POP.65UP.TO","876465","926357","983085","1042645","1099709","1151448","1202778","1249656","1294870","1341870","1392536","1458725","1527744","1599652","1675540","1756278","1826824","1900492","1971292","2030351","2073493","2104843","2122820","2134947","2151552","2178732","2222078","2274503","2335961","2405685","2483779","2579191","2680237","2789738","2911507","3047168","3200277","3363386","3531207","3695779","3852577","3997527","4136796","4271643","4403578","4534396","4665573","4793683","4924208","5063559","5215983","5377187","5549905","5738124","5946922","6179373","6426150","6696740","6985085","7280304","7574547","7896920",
"Turkiye","TUR","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","4.06241495648312","4.06642311712501","4.12362040419953","4.22075052747164","4.34060259744908","4.47007141756153","4.58674188185044","4.71221737288034","4.8377585069781","4.9518642420559","5.04629545226658","5.09653591691042","5.1294691206615","5.13306580207216","5.09440204578558","5.01208542577147","4.8948922057746","4.74372943957225","4.58439949445077","4.45349394307775","4.37165758991972","4.35969814086821","4.3927853529958","4.45352552364355","4.52082261753971","4.58773860706942","4.62544192666812","4.66565170686799","4.71878550787518","4.80105371656497","4.9196500565341","5.06823120394965","5.24742563729419","5.43728070360337","5.60891722941567","5.7451168237183","5.84662191995803","5.91535159964466","5.96105553801488","5.99968007240893","6.04098971627374","6.07583133059913","6.114732876289","6.15628473929694","6.19803522264045","6.23962394925834","6.2870723487892","6.33381097112943","6.38389004525976","6.44260726859982","6.51116758253043","6.58901119895609","6.6734007241598","6.75788572912958","6.83412810558717","6.89779781020007","6.95551576169925","7.00316056301874","7.04166733268378","7.07286353256532","7.09756250517821","7.12409550989987",
