"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"St. Vincent and the Grenadines","VCT","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","CPIA efficiency of revenue mobilization rating (1=low to 6=high)","IQ.CPA.REVN.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","",
"St. Vincent and the Grenadines","VCT","CPIA business regulatory environment rating (1=low to 6=high)","IQ.CPA.BREG.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","4.5","4.5","4.5","4.5","4.5","4","4","4","4","4","4","4","4","3.5","3.5","",
"St. Vincent and the Grenadines","VCT","Procedures to build a warehouse (number)","IC.WRH.PROC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","9","9","9","9","9","8","14","14","14","14","14","14","14","14","","",
"St. Vincent and the Grenadines","VCT","Cost of business start-up procedures (% of GNI per capita)","IC.REG.COST.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.7","33.8","29.2","26.8","21","21.2","22.3","17.9","17.2","16.7","16.5","16.1","15.8","15.4","13.9","","",
"St. Vincent and the Grenadines","VCT","Value lost due to electrical outages (% of sales for affected firms)","IC.FRM.OUTG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Cost to export, border compliance (US$)","IC.EXP.CSBC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","340","340","340","340","340","340","","",
"St. Vincent and the Grenadines","VCT","Human capital index (HCI), upper bound (scale 0-1)","HD.HCI.OVRL.UB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.546025156974792","","0.544671952724457","",
"St. Vincent and the Grenadines","VCT","Interest payments (current LCU)","GC.XPN.INTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24716000","24639000","26080000","27842000","27562000","36906170","43211263","45271865","46810608","51023029","52401852","46037953","44387657","47909668","45660000","44840000","42720000","49740000","","","","",
"St. Vincent and the Grenadines","VCT","Taxes on goods and services (% value added of industry and services)","GC.TAX.GSRV.VA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.18815042265446","3.35401643468053","3.22389246081297","2.85050783527162","2.83039650867446","3.01668135183166","3.17379713088739","3.22500294969782","2.9907825063738","3.21475253470873","5.51707722228102","5.40915423231883","5.19376995109343","5.2999109589165","5.69447593313456","5.67147371576255","6.91278855656727","11.8383125253405","15.6921610966781","15.5765187695913","14.6760009628548","13.8072319985359","14.1371820832602","13.4322299166923","12.3735504556713","13.0711200323822","15.3893920210584","14.8385667171919","","","","",
